original_smiles,generated_smiles,qed_score,tanimoto_similarity,min_sim_param,mw,logp,hba,hbd,tpsa,rotatable_bonds
CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,C[C@H](C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C3CCC3)C[C@@H]21)N1Cc2cccnc2C1=O,0.5270188305149612,0.24603174603174602,0.1,555.6760000000003,2.099,7,2,130.17000000000002,7
CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,CCCCN1C(=O)c2ccc(CCC(=O)NCC3CCCC3)cc2C1=O,0.7267444105931324,0.14414414414414414,0.1,356.4660000000002,3.3217000000000025,3,1,66.48,8
CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,C=C(C)[C@@H]1OCC[C@@H]1Cn1c(CC2CCCC2)nnc1N1C[C@@H](NC(=O)OC(C)(C)C)[C@H](OCC)C1,0.507254498858094,0.1951219512195122,0.1,503.6880000000003,4.110400000000003,8,1,90.74000000000001,9
CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,C[C@H](NC(=O)C1CC1)C(=O)Nc1nc2c(s1)C[C@@H](NC(=O)[C@@H]1CC=CCN1C(=O)OC(C)(C)C)CC2,0.4974697518902749,0.17073170731707318,0.1,517.6520000000003,2.5354,7,3,129.73,6
CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,C[C@@H]1CC=CC[C@@H]1C(=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1n[nH]c2c1CN(C(=O)OC(C)(C)C)CCC2,0.5978153983368132,0.16129032258064516,0.1,511.6670000000004,3.9471000000000025,5,2,107.63000000000001,3
CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,CC(C)[C@@H](Cn1c(C2CCCC2)nnc1N1C[C@@H](C)[C@H](NC(=O)C(F)(F)F)C1)N1CCCC1,0.6602415918925082,0.1623931623931624,0.1,470.58400000000023,3.559300000000002,6,1,66.29,7
CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,CC(=O)Nc1nc(C(C)(C)C)ccc1C(=O)N1CC[C@H]2OCCC[C@@]2(CNC(=O)[C@@H]2CCC=CO2)C1,0.6454619564578564,0.13533834586466165,0.1,498.6240000000004,3.157700000000001,6,2,109.86,5
CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,CC(C)c1cc(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)[C@H]2C=C[C@@H](NC(=O)OC(C)(C)C)C2)n[nH]1,0.5701948951279739,0.1896551724137931,0.1,471.60200000000015,3.2543000000000015,5,3,116.42000000000002,5
CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,C[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@H]1[C@@H]2COC[C@H]1CN(C(=O)c1ccc(CCC(=O)N3CCCC3)cc1)C2,0.5464423822782314,0.16666666666666666,0.1,542.6770000000004,2.3580000000000014,6,2,117.27999999999999,7
CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,C[C@@H]1C[C@@H](C)CN(c2nnc(C(=O)N3CCCCC3)n2C[C@@H](N2CCC[C@@H](C)C2)C(F)(F)F)C1,0.6312814749242259,0.13675213675213677,0.1,484.6110000000003,4.049300000000003,6,0,57.50000000000001,5
