original_smiles,generated_smiles,qed_score,tanimoto_similarity,min_sim_param,mw,logp,hba,hbd,tpsa,rotatable_bonds
O=C(O)[C@@H](CS)Cc1ccccc1,CC[C@@H](C#N)Sc1ccccc1C(=O)O,0.7940017205440681,0.2391304347826087,0.1,221.281,2.7790800000000004,3,1,61.09,4
O=C(O)[C@@H](CS)Cc1ccccc1,C[C@H](Cc1ccccc1)C(=O)O,0.7409187774482175,0.5333333333333333,0.1,164.20399999999995,1.9498,1,1,37.3,3
O=C(O)[C@@H](CS)Cc1ccccc1,CS[C@@](C)(Cc1ccccc1)C(=O)O,0.8289804850321872,0.3157894736842105,0.1,210.298,2.4353999999999996,2,1,37.3,4
O=C(O)[C@@H](CS)Cc1ccccc1,C[C@@H](CSc1ccccc1)Cc1ccccc1C(=O)O,0.8018501591090964,0.26666666666666666,0.1,286.396,4.355700000000003,2,1,37.3,6
O=C(O)[C@@H](CS)Cc1ccccc1,C[C@@H](SC(C)(C)C)C(=O)Nc1ccccc1,0.8707924748286832,0.23255813953488372,0.1,237.36800000000002,3.545300000000002,2,1,29.1,3
O=C(O)[C@@H](CS)Cc1ccccc1,O=C(O[C@@H](C(=O)O)C1CC1)c1ccccc1,0.7843230401073046,0.2682926829268293,0.1,220.224,1.7066,3,1,63.60000000000001,4
O=C(O)[C@@H](CS)Cc1ccccc1,COc1cc(C(N)=S)ccc1-c1ccccc1,0.841650286047492,0.14583333333333334,0.1,243.33100000000005,2.9964000000000013,2,1,35.25,3
O=C(O)[C@@H](CS)Cc1ccccc1,CC[C@@H](Sc1ccccc1CN)C(=O)O,0.7532083280103317,0.2727272727272727,0.1,225.31299999999996,2.1005999999999996,3,2,63.32000000000001,5
O=C(O)[C@@H](CS)Cc1ccccc1,CC[C@H](CC(=O)OC)NC(=O)CCc1ccccc1,0.7662199099633343,0.2765957446808511,0.1,263.337,2.0770999999999997,3,1,55.4,7
O=C(O)[C@@H](CS)Cc1ccccc1,C[C@H](CO)SCc1ccccc1,0.7707139336244281,0.2972972972972973,0.1,182.28800000000004,2.3006,2,1,20.23,4
O=C(O)[C@@H](CS)Cc1ccccc1,C[C@H](CC(=O)O)SCc1ccccc1,0.8116036636966434,0.34210526315789475,0.4,210.298,2.7830000000000013,2,1,37.3,5
O=C(O)[C@@H](CS)Cc1ccccc1,O=C(O)[C@@H](CF)SCc1ccccc1,0.8170409798175801,0.3783783783783784,0.4,214.26100000000002,2.3425000000000002,2,1,37.3,5
O=C(O)[C@@H](CS)Cc1ccccc1,COC(=O)N[C@H](CS)c1ccccc1,0.7505740787523356,0.358974358974359,0.4,211.28600000000003,2.0134999999999996,3,2,38.33,3
O=C(O)[C@@H](CS)Cc1ccccc1,CC[C@@H](SCc1ccccc1)C(=O)O,0.8116036636966434,0.3783783783783784,0.4,210.298,2.7830000000000004,2,1,37.3,5
O=C(O)[C@@H](CS)Cc1ccccc1,CC[C@H](SCc1ccccc1)C(=O)O,0.8116036636966434,0.3783783783783784,0.4,210.298,2.7830000000000004,2,1,37.3,5
O=C(O)[C@@H](CS)Cc1ccccc1,CCN[C@@H](CSCc1ccccc1)C(=O)O,0.7636575760834463,0.3333333333333333,0.4,239.34000000000003,1.9825000000000002,3,2,49.33,7
O=C(O)[C@@H](CS)Cc1ccccc1,CC[C@@H](Sc1ccccc1)C(=O)O,0.7520834376295821,0.32432432432432434,0.4,196.271,2.6418999999999997,2,1,37.3,4
O=C(O)[C@@H](CS)Cc1ccccc1,O=C(O)C[C@H](SCc1ccccc1)C(=O)O,0.7932981539533914,0.3783783783783784,0.4,240.28000000000003,1.8477000000000001,3,2,74.6,6
O=C(O)[C@@H](CS)Cc1ccccc1,CC[C@H](S[C@@H](CO)Cc1ccccc1)C(=O)O,0.7828170230842139,0.4,0.4,254.351,2.1864,3,2,57.53,7
O=C(O)[C@@H](CS)Cc1ccccc1,O=C(O)[C@H]1CCCN1[C@H](CS)Cc1ccccc1,0.8008553323726277,0.4186046511627907,0.4,265.37800000000004,2.0765,3,2,40.54,5
O=C(O)[C@@H](CS)Cc1ccccc1,CS[C@H](C(=O)O)c1ccccc1,0.7780446543947128,0.3142857142857143,0.7,182.24400000000003,2.1753,2,1,37.3,3
O=C(O)[C@@H](CS)Cc1ccccc1,C[C@H](SCc1ccccc1)C(=O)O,0.8030299979192292,0.4,0.7,196.271,2.3928999999999996,2,1,37.3,4
O=C(O)[C@@H](CS)Cc1ccccc1,CS[C@H](Cc1ccccc1)C(=O)O,0.800392048917968,0.48484848484848486,0.7,196.271,2.0453,2,1,37.3,4
O=C(O)[C@@H](CS)Cc1ccccc1,O=C(O)[C@H](CS)Cc1ccccc1,0.7211810591593086,1.0,0.7,196.27100000000004,1.8597,2,2,37.3,4
O=C(O)[C@@H](CS)Cc1ccccc1,O=C(O)[C@@H](S)Cc1ccccc1,0.6968027036375094,0.5862068965517241,0.7,182.24400000000003,1.6120999999999999,2,2,37.3,3
O=C(O)[C@@H](CS)Cc1ccccc1,O=C(O)[C@@H](CCl)SCc1ccccc1,0.7905734187530312,0.3783783783783784,0.7,230.71600000000004,2.6118000000000006,2,1,37.3,5
O=C(O)[C@@H](CS)Cc1ccccc1,O=C(O)[C@@H]1CCN(Cc2ccccc2)C[C@H]1F,0.8728950063737269,0.2608695652173913,0.7,237.27400000000003,1.9312,2,1,40.54,3
O=C(O)[C@@H](CS)Cc1ccccc1,CS[C@@H](Cc1ccccc1)C(=O)O,0.800392048917968,0.48484848484848486,0.7,196.271,2.0453,2,1,37.3,4
O=C(O)[C@@H](CS)Cc1ccccc1,O=C(O)[C@@H](Sc1ccccc1)c1ccccc1,0.8347883768488709,0.3055555555555556,0.7,244.31500000000003,3.6046000000000014,2,1,37.3,4
O=C(O)[C@@H](CS)Cc1ccccc1,O=C(O)[C@H](Cc1ccccc1)Sc1ccccc1,0.8342817092416843,0.47058823529411764,0.7,258.34200000000004,3.4746000000000024,2,1,37.3,5
O=C(O)C[C@H](Cc1ccccc1)C(=O)O,O=C(O)C[C@@H](Cc1ccccc1)C(=O)O,0.7666037270099341,1.0,0.1,208.213,1.4046,2,2,74.6,5
O=C(O)C[C@H](Cc1ccccc1)C(=O)O,O=C(O)C(CC1CCCC1)CC1CCCC1,0.7698429977802034,0.2571428571428571,0.1,224.34399999999994,3.847800000000003,1,1,37.3,5
O=C(O)C[C@H](Cc1ccccc1)C(=O)O,CC(=O)OC[C@@H](Cc1ccccc1)C(=O)O,0.7665311522240659,0.5588235294117647,0.1,222.24,1.493,3,1,63.60000000000001,5
O=C(O)C[C@H](Cc1ccccc1)C(=O)O,O=C(O)C(Cc1ccccc1)Cc1ccccc1,0.8711623635828292,0.76,0.1,240.30200000000002,3.172600000000002,1,1,37.3,5
O=C(O)C[C@H](Cc1ccccc1)C(=O)O,O[C@@H](Cc1ccccc1F)Cc1ccccc1C(F)(F)F,0.8462122748620738,0.20454545454545456,0.1,298.27899999999994,3.9906000000000024,1,1,20.23,4
O=C(O)C[C@H](Cc1ccccc1)C(=O)O,Cc1ccc(C(C(=O)O)C(=O)O)cc1Cl,0.7752268196379376,0.21951219512195122,0.1,228.631,1.90122,2,2,74.6,3
O=C(O)C[C@H](Cc1ccccc1)C(=O)O,Cc1ccc(C[C@H](C)C(=O)O)cc1F,0.805503257915534,0.2857142857142857,0.1,196.221,2.3973199999999997,1,1,37.3,3
O=C(O)C[C@H](Cc1ccccc1)C(=O)O,COc1cccc(C[C@H](O)C(=O)c2nccn2C)c1,0.8208045681979407,0.21818181818181817,0.1,260.293,1.2149999999999999,5,1,64.35,5
