original_smiles,generated_smiles,qed_score,tanimoto_similarity,min_sim_param,mw,logp,hba,hbd,tpsa,rotatable_bonds
Cc1ccc2c(ccn2C[C@@H]2C/C=C/[C@H](c3ccc(CP(=O)(O)O)cc3)[C@H](CC(=O)O)C(=O)NC3(CCCCC3)C(=O)N[C@@H](CC(N)=O)C(=O)NC2)c1,CN(C)C(=O)c1ccc2c(c1)C[C@@H](CNC(=O)C(C)(C)C)N(C(=O)C1CCCC1)CC2,0.8029973883046887,0.1111111111111111,0.1,427.5890000000003,3.0367000000000006,3,1,69.72,4
Cc1ccc2c(ccn2C[C@@H]2C/C=C/[C@H](c3ccc(CP(=O)(O)O)cc3)[C@H](CC(=O)O)C(=O)NC3(CCCCC3)C(=O)N[C@@H](CC(N)=O)C(=O)NC2)c1,COC(=O)[C@@H](C)[C@H](Cc1ccc(O)cc1)N1C(=O)c2cc(OC)c(OC)cc2N[C@@H]1CC(=O)N1CCCC1,0.48003575411483723,0.14728682170542637,0.1,525.6020000000004,3.036100000000001,8,2,117.64,9
Cc1ccc2c(ccn2C[C@@H]2C/C=C/[C@H](c3ccc(CP(=O)(O)O)cc3)[C@H](CC(=O)O)C(=O)NC3(CCCCC3)C(=O)N[C@@H](CC(N)=O)C(=O)NC2)c1,CC(C)C(=O)NC[C@@H]1CCN(C(=O)OC(C)(C)C)[C@H](c2nc3cc(C(=O)N(C)C)ccc3[nH]c2=O)C1,0.6514240650848607,0.11428571428571428,0.1,499.61200000000025,3.085300000000001,6,2,124.69999999999999,5
Cc1ccc2c(ccn2C[C@@H]2C/C=C/[C@H](c3ccc(CP(=O)(O)O)cc3)[C@H](CC(=O)O)C(=O)NC3(CCCCC3)C(=O)N[C@@H](CC(N)=O)C(=O)NC2)c1,Cc1nc2n(C)c(=O)n(C)c(=O)n2c1CN1C([Si](C)(C)C)=C(C(N)=O)N(C(=O)C(C)(C)C)CC1(C)C,0.6047588048834333,0.12698412698412698,0.1,517.7070000000003,1.0833200000000018,9,1,127.94,4
Cc1ccc2c(ccn2C[C@@H]2C/C=C/[C@H](c3ccc(CP(=O)(O)O)cc3)[C@H](CC(=O)O)C(=O)NC3(CCCCC3)C(=O)N[C@@H](CC(N)=O)C(=O)NC2)c1,COC(=O)[C@H](Cn1c[n+](C[C@@H]2CN(C(C)=O)CCN2C(=O)OC(C)(C)C)c2cc(OC)ccc21)NC(C)=O,0.4182043352053596,0.13138686131386862,0.1,532.6180000000003,1.0829000000000013,8,1,123.29000000000002,7
Cc1ccc2c(ccn2C[C@@H]2C/C=C/[C@H](c3ccc(CP(=O)(O)O)cc3)[C@H](CC(=O)O)C(=O)NC3(CCCCC3)C(=O)N[C@@H](CC(N)=O)C(=O)NC2)c1,CC(C)C[C@@H]1C(=O)Nc2ccccc2C(=O)/C1=N/[C@H](CC(C)C)C(=O)N[C@H](C)C(=O)OC(C)(C)C,0.5361941858584647,0.11538461538461539,0.1,485.62500000000034,4.185800000000003,6,2,113.92999999999999,8
Cc1ccc2c(ccn2C[C@@H]2C/C=C/[C@H](c3ccc(CP(=O)(O)O)cc3)[C@H](CC(=O)O)C(=O)NC3(CCCCC3)C(=O)N[C@@H](CC(N)=O)C(=O)NC2)c1,CCNC(=O)c1cn(CC(=O)N2CCCCN(C(=O)OC(C)(C)C)CC2)c2cc(OC)c(C(=O)OC)cc2c1=O,0.5340879341550485,0.12030075187969924,0.1,558.6320000000004,2.405900000000001,9,1,136.48000000000002,6
Cc1ccc2c(ccn2C[C@@H]2C/C=C/[C@H](c3ccc(CP(=O)(O)O)cc3)[C@H](CC(=O)O)C(=O)NC3(CCCCC3)C(=O)N[C@@H](CC(N)=O)C(=O)NC2)c1,COC(=O)[C@H](Cc1cn(CC2CCN(C(=O)OC(C)(C)C)[C@@H](CC(C)=O)C2)c2ccc(O)cc2c1=O)NC(C)=O,0.4716679165638302,0.16058394160583941,0.1,557.6440000000003,2.9221000000000004,9,2,144.24,8
Cc1ccc2c(ccn2C[C@@H]2C/C=C/[C@H](c3ccc(CP(=O)(O)O)cc3)[C@H](CC(=O)O)C(=O)NC3(CCCCC3)C(=O)N[C@@H](CC(N)=O)C(=O)NC2)c1,COC(=O)c1nc(C)c(C[C@@H](Nc2cc(OC)cc3c2C[C@H]2CN(C(C)=O)CC[C@H]2C3)C(C)=O)cc1C(N)=O,0.4904600896033032,0.12056737588652482,0.1,536.6290000000005,2.47952,8,2,140.92000000000002,8
Cc1ccc2c(ccn2C[C@@H]2C/C=C/[C@H](c3ccc(CP(=O)(O)O)cc3)[C@H](CC(=O)O)C(=O)NC3(CCCCC3)C(=O)N[C@@H](CC(N)=O)C(=O)NC2)c1,COC(=O)[C@H](NC(=O)OC(C)(C)C)c1cn(C)c2c1C(=O)N(C[C@@H]1CCCN(C(=O)OC(C)(C)C)C1)CC2,0.4541321757393904,0.12686567164179105,0.1,534.6540000000003,3.409300000000001,8,1,119.40999999999998,5
