original_smiles,generated_smiles,qed_score,tanimoto_similarity,min_sim_param,mw,logp,hba,hbd,tpsa,rotatable_bonds
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CC(C)CNC(=O)C[C@H]1C[C@@H]2COC(=O)[C@@H]2C(=O)N/C(=N/C(=O)CSCC(=O)O)S1,0.34276680784388347,0.14705882352941177,0.1,459.54600000000016,0.2600000000000022,8,3,151.23,8
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,C[C@H](CC/N=C1/NC(=O)[C@@H](C)[C@H](CC(=O)NCC2Cc3ccccc3C2)S1)C(=O)O,0.5850800727872915,0.1262135922330097,0.1,431.55800000000016,2.2421999999999995,5,3,107.86,8
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CC[C@@H](C)CC/N=C1\S[C@@H](CC(=O)N[C@@H](C)CC(C)C)CC(=O)N1CCC(=O)OC,0.4674526993691639,0.09433962264150944,0.1,441.6380000000003,3.6167000000000025,6,1,88.07000000000001,12
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,Cc1nnc2n1[C@@H](C)[C@H](NC(=O)/C=C\C(=O)OCCCNC(=O)OCC(C)C)CC2,0.3511911012108902,0.09259259259259259,0.1,421.4980000000003,1.4502199999999996,8,2,124.44000000000001,9
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CC(=O)OC[C@@H](O)CN1C(=O)C[C@H]2C(=O)N(C(=O)/C=C/c3ccco3)CSC[C@H]2C1=O,0.36797821049208923,0.0990990990990991,0.1,450.4690000000002,0.26760000000000006,9,1,134.43,6
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CC/C=C(\C)C(=O)N[C@H]1C[C@@H](C(=O)OCC)N(C(=O)CNC(=O)CC(C)C)CCC1(C)C,0.41408649702234074,0.10476190476190476,0.1,451.6080000000003,2.5701,5,2,104.81,9
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CC(C)C[C@H](C)NC(=O)C[C@@H]1SC(=O)N2CCCCC[C@@H]2C(=O)N1C[C@H](O)COC(C)C,0.5082063075959318,0.102803738317757,0.1,471.6640000000003,2.979300000000001,6,2,99.18,10
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CCOC(=O)/C=C1/S[C@@H](CC(C)C)C(=O)N(CCNC(=O)OC(C)(C)C)[C@@H](C)C[C@H](C)NC1=O,0.4082510816479214,0.1509433962264151,0.1,499.6740000000003,3.2315000000000014,7,2,114.04000000000002,7
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,C/C=C\C[C@@H]1CC[C@@H](C(=O)OCC)[C@H](CNC(=O)[C@H](NC(=O)c2c(C)cccc2C)C(C)C)C1,0.38223041965339166,0.102803738317757,0.1,470.6540000000002,4.735840000000003,4,2,84.5,10
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,C/C=C/C=C/C(=O)N[C@@H]1C[C@H](NC(=O)C(C)(C)C)C1(C)C,0.6178204250411506,0.08139534883720931,0.1,292.42300000000006,2.5643000000000002,2,2,58.2,4
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,C[C@H](CNC(=O)C[C@@H]1SC(=S)N(C)C(=O)[C@H]1CCCNC(=O)OC(C)(C)C)C(=O)O,0.3516611398420937,0.08571428571428572,0.4,461.60600000000034,1.9931999999999992,7,3,125.04,9
