original_smiles,generated_smiles,qed_score,tanimoto_similarity,min_sim_param,mw,logp,hba,hbd,tpsa,rotatable_bonds
CC(C)[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C,C[C@H](NC(=O)CN1C(=O)[C@H](C)NC(=O)[C@H]1Cc1ccccc1)C(=O)NCCNC(N)=O,0.291364999784332,0.3225806451612903,0.1,432.48100000000017,-1.7661999999999942,5,5,162.73000000000002,9
CC(C)[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C,Cc1ccccc1C[C@H](NC(=O)NCCCNC(=O)OC(C)(C)C)C(=O)NC[C@@H](C)C(N)=O,0.3138513723744723,0.18269230769230768,0.1,463.5790000000003,1.3577200000000011,5,5,151.65,11
CC(C)[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C,C=CCNC(=O)N[C@H]1C=C[C@H]2C(=O)N(CCNC(=O)[C@H](NC(=O)OCC)C(C)C)C(=O)[C@H]2C1,0.2705541372416104,0.15789473684210525,0.1,463.53500000000025,0.28820000000000334,6,4,145.93999999999997,10
CC(C)[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C,CCCCn1c(C)c(C(=O)NCCCCC(=O)NC(N)=O)c(=O)n(CC(=O)OC)c1=S,0.2526490292589363,0.17142857142857143,0.1,455.5370000000002,0.7558100000000014,9,3,154.51999999999998,11
CC(C)[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C,C=CCNC(=O)[C@@H](Cc1ccc(OC)cc1)NC(=O)CCNC(=O)[C@H](CC(C)C)NC(N)=O,0.2572033086532248,0.14953271028037382,0.1,461.5630000000003,0.6140000000000023,5,5,151.65,14
CC(C)[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C,CC(C)[C@@H](NC(=O)NCCC[C@H](NC(=O)NCC(N)=O)C(F)(F)F)C(=O)N[C@@H](C)c1ccccc1,0.2407249021613841,0.21212121212121213,0.1,502.5380000000001,1.6832000000000018,4,6,154.45,12
CC(C)[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C,C[C@H](NC(=O)CCC(N)=O)C(=O)N[C@@H]1CC12CCN(CC(=O)N[C@H](C)C(=O)NC(N)=O)CC2,0.20212607035414784,0.13592233009708737,0.1,467.52700000000027,-2.573099999999994,7,6,205.82,10
CC(C)[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C,CCC[C@H](NC(N)=O)C(=O)N1CC[C@H]2[C@@H]1CCN2C(=O)CCC(=O)N1CCCC1,0.6363970577771371,0.13131313131313133,0.1,407.5150000000003,0.4278000000000013,4,2,116.04999999999997,7
CC(C)[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C,NC(=O)C[C@H](NC(=O)CN1CCN(C(=O)CCCCC(F)(F)F)CC1)C(=O)Nc1ccc(F)cc1,0.3110364193076497,0.12612612612612611,0.1,503.4970000000001,1.3912999999999995,5,3,124.83999999999997,11
CC(C)[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C,CC(=O)Nc1ccc2c(c1)C(=O)N(CCNC(=O)N[C@@H](C(=O)NCCN(C)C)C(C)C)C2=O,0.3689933601466191,0.14953271028037382,0.1,460.5350000000002,0.24260000000000193,6,4,139.95000000000002,10
CC(C)[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C,NCCCC[C@H](NC(N)=O)C(=O)NCCCC[C@@H]1N[C@@H](C(=O)c2ccccc2)N(CC(=O)O)C1=O,0.14004843389125637,0.2647058823529412,0.4,490.56100000000015,-0.4671999999999941,7,6,196.94999999999996,15
CC(C)[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C,CCCCN1C(=N)NC(=O)[C@@H](CC(=O)NC[C@@H](O)c2ccccc2)[C@H](C(=O)NCCC(=O)NC(=N)N)C1=O,0.09201487064006261,0.27102803738317754,0.4,530.5860000000002,-1.332059999999994,8,8,230.66,12
CC(C)[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C,CCCC[C@@H](NC(=O)[C@H](C)NC(N)=O)C(=O)NCCNC(=O)[C@H](C)NC(=O)c1ccc(C)cc1,0.2209533628635082,0.17346938775510204,0.4,476.5780000000002,0.07752000000000381,5,6,171.51999999999998,13
