original_smiles,generated_smiles,qed_score,tanimoto_similarity,min_sim_param,mw,logp,hba,hbd,tpsa,rotatable_bonds
CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(C)=O)CSSC[C@H](C(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC1=O,CO[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCC2(CCCN(C(=O)[C@@H](N)CCC(N)=O)C2)CC1,0.44611702898838934,0.11320754716981132,0.1,497.6370000000005,0.7386000000000045,7,3,157.28999999999996,8
CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(C)=O)CSSC[C@H](C(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC1=O,CCOC(=O)O[C@H](C)[C@@H](NC(=O)OC(C)(C)C)C(=O)N1CC[C@H]2[C@@H]1CCN2C(=O)[C@@H](N)CCC(N)=O,0.3632840207781992,0.15841584158415842,0.1,513.5920000000004,0.23590000000000544,9,3,183.59,9
CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(C)=O)CSSC[C@H](C(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC1=O,C=CC[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCC([C@@H]2CCCCN2C(=O)[C@H](C)NC(=O)NCC)CC1,0.4365442864985645,0.1320754716981132,0.1,507.6760000000004,2.783100000000001,5,3,120.08000000000001,8
CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(C)=O)CSSC[C@H](C(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC1=O,C=C[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C(=O)N1CCC([C@@H]2CCCCN2C(=O)C[C@H](NC(N)=O)C(=O)O)CC1,0.26235933581241505,0.14814814814814814,0.1,539.6300000000002,0.557900000000005,7,5,191.59999999999997,9
CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(C)=O)CSSC[C@H](C(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC1=O,CC[C@H](C)[C@H](NC(=O)NC(C)=O)C(=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)[C@H](C)NC(=O)OC(C)(C)C,0.4236181442447292,0.16326530612244897,0.1,495.6210000000003,1.7982000000000016,6,4,145.94,7
CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(C)=O)CSSC[C@H](C(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC1=O,CC[C@H](C)[C@@H](C)C(=O)N1CC[C@H]2[C@@H]1CCN2C(=O)[C@H](CCC(N)=O)NC(=O)OC(C)(C)C,0.5834365556141113,0.1702127659574468,0.1,452.59600000000023,2.0292000000000012,5,2,122.04,8
CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(C)=O)CSSC[C@H](C(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC1=O,C[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C(=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)[C@H](C)[C@H]1SC(=N)NC1=O,0.36085703643681766,0.1650485436893204,0.1,497.6180000000002,0.701170000000002,8,5,160.92,6
CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(C)=O)CSSC[C@H](C(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC1=O,CC(C)(C)OC(=O)N[C@H](CC(N)=O)C(=O)N1CCCC[C@@H]1CNC(=O)[C@@H](N)CCC(N)=O,0.2727941243477927,0.11538461538461539,0.1,456.5440000000003,-1.1547999999999954,7,5,199.94,10
CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(C)=O)CSSC[C@H](C(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC1=O,C=CC[C@H](C)[C@@H](NC(=O)OC(C)(C)C)C(=O)N1CC[C@H]2CO[C@@H](CNC(=O)[C@@H](N)CCC(N)=O)[C@H]2C1,0.29694951868552194,0.1206896551724138,0.1,509.64800000000037,0.6644000000000058,7,4,166.07999999999998,11
CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(C)=O)CSSC[C@H](C(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC1=O,C=CC[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCC([C@@H]2CCCCN2C(=O)C[C@H](NC(N)=O)C(N)=O)CC1,0.32804684221464747,0.12037037037037036,0.1,522.6470000000004,0.9878000000000047,6,4,177.16,9
