original_smiles,generated_smiles,qed_score,tanimoto_similarity,min_sim_param,mw,logp,hba,hbd,tpsa,rotatable_bonds
CC(=O)/N=C(/N)NCCC[C@@H]1NC(=O)[C@H](CCCC(=O)O)NC(=O)[C@H](Cc2cnc[nH]2)N2C(=O)[C@H](C[C@H]2O)NC(=O)[C@H]2CCCN2C1=O,O=C(/C=C/C(=O)N1CC[C@H]2CO[C@@H](CNC(=O)CCCC(=O)NCc3cnn[nH]3)[C@H]2C1)NC1CC1,0.30360361176143014,0.14393939393939395,0.1,487.5610000000003,-0.594299999999996,7,4,158.41,11
CC(=O)/N=C(/N)NCCC[C@@H]1NC(=O)[C@H](CCCC(=O)O)NC(=O)[C@H](Cc2cnc[nH]2)N2C(=O)[C@H](C[C@H]2O)NC(=O)[C@H]2CCCN2C1=O,C/C=C/C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)[C@H](C)NC(N)=O)C[C@@H]21,0.28815892408985955,0.20930232558139536,0.1,475.55000000000035,-0.9503999999999948,6,5,171.54,9
CC(=O)/N=C(/N)NCCC[C@@H]1NC(=O)[C@H](CCCC(=O)O)NC(=O)[C@H](Cc2cnc[nH]2)N2C(=O)[C@H](C[C@H]2O)NC(=O)[C@H]2CCCN2C1=O,C[C@@H](C(=O)N1CCCC[C@H]1C1CCN(C(=O)[C@H](C[C@@H]2CCCO2)NC(=O)OC(C)(C)C)CC1)N1C(=O)CNC1=O,0.45216872276988,0.12686567164179105,0.1,563.6960000000004,2.0088000000000013,7,2,137.59,7
CC(=O)/N=C(/N)NCCC[C@@H]1NC(=O)[C@H](CCCC(=O)O)NC(=O)[C@H](Cc2cnc[nH]2)N2C(=O)[C@H](C[C@H]2O)NC(=O)[C@H]2CCCN2C1=O,CCOC(=O)c1c(C)n(C/C=C/C(=O)NCCN2C(=O)CNC2=O)n(CC2CCCC2)c1=O,0.2971533721078801,0.13385826771653545,0.1,461.51900000000035,0.5493200000000011,8,2,131.74,10
CC(=O)/N=C(/N)NCCC[C@@H]1NC(=O)[C@H](CCCC(=O)O)NC(=O)[C@H](Cc2cnc[nH]2)N2C(=O)[C@H](C[C@H]2O)NC(=O)[C@H]2CCCN2C1=O,C[C@@H](Oc1cnn(C)c1)C(=O)N[C@H](CNC(=O)/C=C/c1cnc[nH]1)C(C)(C)C,0.5894677663997608,0.15447154471544716,0.1,388.4720000000001,1.2710000000000004,6,3,113.93,8
CC(=O)/N=C(/N)NCCC[C@@H]1NC(=O)[C@H](CCCC(=O)O)NC(=O)[C@H](Cc2cnc[nH]2)N2C(=O)[C@H](C[C@H]2O)NC(=O)[C@H]2CCCN2C1=O,CN(CCN1CCNC(=O)C1)c1nnc([C@@H]2CCC(=O)N2)n1CCCN1CCCC[C@@H](C(F)(F)F)C1,0.5103026760028053,0.11940298507462686,0.1,514.5970000000002,1.1517000000000026,8,2,98.63000000000001,9
CC(=O)/N=C(/N)NCCC[C@@H]1NC(=O)[C@H](CCCC(=O)O)NC(=O)[C@H](Cc2cnc[nH]2)N2C(=O)[C@H](C[C@H]2O)NC(=O)[C@H]2CCCN2C1=O,NC(=O)NCC(=O)N1CC[C@]2(C1)CN(C(=O)c1noc([C@@H]3NC(=O)N(C4CCCCC4)C3=O)n1)CCO2,0.41444572529741436,0.16279069767441862,0.1,518.5310000000004,-0.8929999999999958,9,3,193.29999999999998,5
CC(=O)/N=C(/N)NCCC[C@@H]1NC(=O)[C@H](CCCC(=O)O)NC(=O)[C@H](Cc2cnc[nH]2)N2C(=O)[C@H](C[C@H]2O)NC(=O)[C@H]2CCCN2C1=O,CC[C@@H](C(=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)[C@H](CCCN)NC(=O)OC(C)(C)C)N1CC(=O)NC1=O,0.33112190070254266,0.15625,0.1,508.62000000000035,0.5872000000000048,7,4,163.17,9
CC(=O)/N=C(/N)NCCC[C@@H]1NC(=O)[C@H](CCCC(=O)O)NC(=O)[C@H](Cc2cnc[nH]2)N2C(=O)[C@H](C[C@H]2O)NC(=O)[C@H]2CCCN2C1=O,CC(C)(C)OC(=O)N[C@@H](CCC(=O)N1CCCC1)C(=O)N1C[C@H]2COC[C@@H](C1)[C@H]2NC(=O)c1nc[nH]n1,0.4640139208707541,0.16535433070866143,0.1,519.6030000000002,0.3038000000000044,8,3,158.85000000000002,7
CC(=O)/N=C(/N)NCCC[C@@H]1NC(=O)[C@H](CCCC(=O)O)NC(=O)[C@H](Cc2cnc[nH]2)N2C(=O)[C@H](C[C@H]2O)NC(=O)[C@H]2CCCN2C1=O,CC(C)(C)OC(=O)N[C@@H](CN)C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)CCCN3C(=O)C=CC3=O)C[C@@H]21,0.35292904707010614,0.1417910447761194,0.1,507.5880000000004,-0.47669999999999413,8,3,160.36999999999998,9
CC(=O)/N=C(/N)NCCC[C@@H]1NC(=O)[C@H](CCCC(=O)O)NC(=O)[C@H](Cc2cnc[nH]2)N2C(=O)[C@H](C[C@H]2O)NC(=O)[C@H]2CCCN2C1=O,CC(=O)NCCCC(=O)N1CCCC[C@@H]1c1cc(NC(=O)/C=C/C(=O)NC2=NCCS2)n[nH]1,0.32670664811241806,0.2,0.4,475.57500000000016,1.0933000000000013,7,4,148.65,8
CC(=O)/N=C(/N)NCCC[C@@H]1NC(=O)[C@H](CCCC(=O)O)NC(=O)[C@H](Cc2cnc[nH]2)N2C(=O)[C@H](C[C@H]2O)NC(=O)[C@H]2CCCN2C1=O,NC(=O)CCCC[C@H](NC(=O)[C@H](CCCNC(N)=O)NC(=O)[C@H]1CCNC(=O)C1)C(F)(F)F,0.19442029716617085,0.175,0.4,480.48800000000017,-0.4612999999999958,5,6,185.51,13
CC(=O)/N=C(/N)NCCC[C@@H]1NC(=O)[C@H](CCCC(=O)O)NC(=O)[C@H](Cc2cnc[nH]2)N2C(=O)[C@H](C[C@H]2O)NC(=O)[C@H]2CCCN2C1=O,CC(C)(C)OC(=O)N[C@@H](CCC(N)=O)C(=O)NC[C@@H]1CCN(C(=O)CC[C@H](N)C(=O)O)[C@H]1c1cccnc1,0.25157650295824097,0.17293233082706766,0.4,534.6140000000004,0.4383000000000048,8,5,207.03999999999996,12
