original_smiles,generated_smiles,qed_score,tanimoto_similarity,min_sim_param,mw,logp,hba,hbd,tpsa,rotatable_bonds
COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C2(C)C,C[C@@H]1Cc2cc([C@H](CN)OCC3=CCCCC3)ccc2N1C,0.8446914936872391,0.13414634146341464,0.1,300.44599999999997,3.5842000000000027,3,1,38.49,5
COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C2(C)C,CC1(C)NCc2ccccc2[C@@H]1OCC[C@@H]1CCCCO1,0.918654225783672,0.1282051282051282,0.1,289.41900000000004,3.585300000000003,3,1,30.49,4
COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C2(C)C,CC1(C)NC(=S)Nc2ccc(OCCN3CCCCC3)cc21,0.8342340624918915,0.29850746268656714,0.1,319.4740000000001,3.086400000000001,3,2,36.53,4
COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C2(C)C,CN[C@@H]1CCCc2cc(F)c(O[C@@H]3CCCN(C)C3)cc21,0.9268713191598669,0.14102564102564102,0.1,292.398,2.895500000000001,3,1,24.5,3
COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C2(C)C,Cc1nc2cc(C3=NNC4(CCC4)C3)ccc2n1C,0.849279390593279,0.13333333333333333,0.1,254.33699999999993,2.5018200000000004,4,1,42.21,1
COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C2(C)C,CN1C(=O)Nc2ccc(OCCCN3CCCC3)cc2C1(C)C,0.8478728688818212,0.36507936507936506,0.1,317.433,3.263700000000002,3,1,44.81000000000001,5
COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C2(C)C,CN1CCN(c2cc(-n3ccc4c(c3=N)C(=O)N(C)C4)ccn2)CC1,0.8747459248664561,0.125,0.1,338.41500000000013,0.6891699999999996,6,1,68.46000000000001,2
COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C2(C)C,CN1c2ccc(CCN3CCCC3)cc2NC(=O)C1(C)C,0.9275317271932211,0.23880597014925373,0.1,287.40700000000004,2.4918000000000005,3,1,35.58,3
COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C2(C)C,O=C(c1cnc2c(c1)N(C(=O)CC1CCC1)CC2)N1CCOc2ccccc21,0.8240839475105982,0.11363636363636363,0.1,377.4440000000001,3.2001000000000017,4,0,62.74000000000001,3
COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C2(C)C,COc1cc2c(cc1OC1CCCCC1)CCNC2=N,0.8907999156176802,0.16901408450704225,0.1,274.3639999999999,2.87777,3,2,54.34,3
