original_smiles,generated_smiles,qed_score,tanimoto_similarity,min_sim_param,mw,logp,hba,hbd,tpsa,rotatable_bonds
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,O=C(O)[C@@H](Sc1ccc2ccccc2c1)c1ccccc1,0.7049870591909164,0.22807017543859648,0.1,294.375,4.757800000000003,2,1,37.3,4
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,O=C(O)[C@H](CSCc1coc2ccccc12)Cc1ccccc1,0.6886638027205012,0.32786885245901637,0.1,326.4170000000001,4.609500000000003,3,1,50.44,7
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,C[C@H](c1ccc2[nH]ccc2c1)[C@H](Sc1ccccc1)C(=O)O,0.6812878562332815,0.22727272727272727,0.1,311.40600000000006,4.516900000000003,2,2,53.09,5
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,O=C(O)[C@H](CSc1ccccc1)SCc1ccc2occc2c1,0.6171025755214347,0.3333333333333333,0.1,344.4570000000001,4.911500000000003,4,1,50.44,7
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,O=C(O)[C@@H](Cc1ccc2ccccc2c1)CS(=O)(=O)c1ccccc1,0.7346422012432472,0.2833333333333333,0.1,354.4270000000001,3.557000000000003,3,1,71.44,6
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,C[C@@H](SCc1ccc2oc3ccccc3c2c1)C(=O)N(C)CC(=O)O,0.7273981651582311,0.45,0.1,357.4310000000001,3.750700000000002,4,1,70.75,6
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,NC(=O)CS[C@@H](Cc1ccc2c(c1)oc1ccccc12)C(=O)O,0.7250873184244154,0.5660377358490566,0.1,329.37700000000007,2.800200000000001,4,2,93.53000000000002,6
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,C[C@@H](C(=O)c1ccccc1)S(=O)(=O)N(C)Cc1ccc2ccccc2c1,0.6215564940638628,0.24615384615384617,0.1,367.47,3.8728000000000034,3,0,54.45,6
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,O=C(O)[C@H](Cc1ccccc1)Sc1ccc2occc2c1,0.716451223734887,0.38596491228070173,0.1,298.36300000000006,4.220800000000002,3,1,50.44,5
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,O=S(=O)(C[C@@H](O)Cc1ccc2ccccc2c1)c1ccccc1,0.7830905618991486,0.25,0.1,326.41700000000003,3.217100000000001,3,1,54.370000000000005,5
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,COC(=O)c1oc2ccc(CS[C@@H](C(=O)O)c3ccccc3)cc2c1C,0.6398044454175762,0.3484848484848485,0.4,370.42600000000004,4.586920000000003,5,1,76.74,6
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,O=C(Cc1ccc2c(c1)oc1ccccc12)O[C@H](Cc1ccccc1)C(=O)O,0.5073273258305308,0.43103448275862066,0.4,374.39200000000005,4.367600000000003,4,1,76.74,6
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,C[C@@H](SCc1cc2ccccc2c2ccccc12)C(=O)O,0.709060549933492,0.29310344827586204,0.4,296.391,4.699300000000004,2,1,37.3,4
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,Cc1cc2cc(CS[C@@H](CNC(=O)Cc3ccccc3)C(=O)O)ccc2o1,0.6186917211369987,0.3235294117647059,0.4,383.4690000000001,3.786520000000002,4,2,79.54,8
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,O=C(O)[C@H](Cc1ccccc1)SCc1ccc2ccccc2c1,0.7101404829705387,0.36363636363636365,0.4,322.42900000000003,4.768900000000004,2,1,37.3,6
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,C[C@@H](SCc1cc2ccccc2o1)C(=O)OC(C)(C)C,0.7831624620811256,0.24242424242424243,0.4,292.40000000000003,4.396200000000003,4,0,39.44,4
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,Cc1cccc2cc(CS[C@H](Cc3ccccc3)C(=O)O)oc12,0.7149328175721597,0.3333333333333333,0.4,326.4170000000001,4.670320000000004,3,1,50.44,6
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,COc1ccc2c(c1)oc1ccc(CS[C@@H](Cc3ccccc3)C(=O)O)cc12,0.44843259186910506,0.5,0.4,392.4760000000001,5.523700000000005,4,1,59.67,7
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,O=C(O)[C@@H](COc1ccccc1)SCc1ccc2c(c1)oc1ccccc12,0.469574200062449,0.46551724137931033,0.4,378.4490000000001,5.351400000000004,4,1,59.67,7
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,CC(=O)S[C@@H](Cc1ccc2ccccc2c1)C(=O)O,0.9303641949315566,0.4423076923076923,0.4,274.341,3.1152000000000006,3,1,54.370000000000005,4
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,O=C(O)[C@@H](Cc1ccccc1)SCc1ccc2oc3ccccc3c(=O)c2c1,0.4755961253588296,0.5555555555555556,0.7,390.46000000000015,4.875300000000004,4,1,67.50999999999999,6
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,O=C(C[C@H](SCc1ccc2ccccc2c1)C(=O)O)c1ccccc1,0.6220098651302999,0.3684210526315789,0.7,350.4390000000001,4.7992000000000035,3,1,54.370000000000005,7
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,O=C(O)[C@H](Cc1cc2ccccc2o1)C(=O)c1ccccc1,0.5768473114255929,0.3888888888888889,0.7,294.306,3.559000000000002,3,1,67.50999999999999,5
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,O=C(O)[C@@H](Cc1ccc2ccccc2c1)S(=O)(=O)C1CCC1,0.9199387913931044,0.2698412698412698,0.7,318.3940000000002,2.8028000000000013,3,1,71.44,5
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,O=C(O)CS(=O)(=O)C[C@H](Cc1ccc2ccccc2c1)C(=O)O,0.7944550198810378,0.2833333333333333,0.7,336.36500000000007,1.5825000000000005,4,2,108.74,7
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,N#C[C@H](CS(=O)(=O)C1CC1)C(=O)c1ccc2c(c1)oc1ccccc12,0.6552439325502665,0.31343283582089554,0.7,353.39900000000006,3.485680000000002,5,0,88.14,5
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,O=C(O)CS(=O)(=O)[C@@H](Cc1ccc2ccccc2c1)C(=O)O,0.8303586772783329,0.288135593220339,0.7,322.3380000000001,1.3349000000000002,4,2,108.74,6
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,CC(C)(C)C[C@H](SCc1cc2ccccc2o1)C(=O)O,0.877622671344729,0.32786885245901637,0.7,292.40000000000003,4.555400000000004,3,1,50.44,5
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,O=C(CS[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)C(F)F,0.6821351896593819,0.6346153846153846,0.7,364.369,4.1491000000000025,4,1,67.51,7
O=C(S[C@H](Cc1ccc2oc3ccccc3c2c1)C(=O)O)c1ccccc1,O=C(O)C(=O)S[C@H]1CCc2oc3ccccc3c2C1,0.8109056649108415,0.27419354838709675,0.7,276.31300000000005,2.634500000000001,4,1,67.50999999999999,1
O=C(O)[C@@H](Cc1ccccc1)[C@H](Cc1ccccc1)C(=O)O,NC(=O)[C@H](Cc1ccccc1)[C@H](Cc1ccccc1)C(=O)O,0.8223752672970247,0.8,0.1,297.35400000000004,2.2741,2,2,80.39,7
O=C(O)[C@@H](Cc1ccccc1)[C@H](Cc1ccccc1)C(=O)O,CC[C@H](S[C@@H](Cc1ccccc1)C(=O)O)c1ccccc1,0.8137455321988241,0.4444444444444444,0.1,300.423,4.566800000000003,2,1,37.3,7
O=C(O)[C@@H](Cc1ccccc1)[C@H](Cc1ccccc1)C(=O)O,Cc1ccccc1C[C@@H](/N=C\c1ccccc1)C(=O)O,0.8461396844341792,0.325,0.1,267.328,3.109820000000001,2,1,49.66,5
O=C(O)[C@@H](Cc1ccccc1)[C@H](Cc1ccccc1)C(=O)O,O=C(O)c1ccnc([C@@H]2CC(=O)N(Cc3ccccc3)[C@H]2C(=O)O)c1,0.8583743742500877,0.25,0.1,340.33500000000004,1.7491,4,2,107.8,5
O=C(O)[C@@H](Cc1ccccc1)[C@H](Cc1ccccc1)C(=O)O,CC(=O)[C@@H](Cc1ccccc1)[S@](=O)Cc1ccc(C(=O)O)cc1,0.8471981902883167,0.42105263157894735,0.1,330.4050000000001,2.833800000000001,3,1,71.44,7
O=C(O)[C@@H](Cc1ccccc1)[C@H](Cc1ccccc1)C(=O)O,O=C1CCC[C@@H](C[C@H](Cc2ccccc2)C(=O)O)N1,0.8514622677301772,0.38095238095238093,0.1,261.32099999999997,1.9887,2,2,66.4,5
O=C(O)[C@@H](Cc1ccccc1)[C@H](Cc1ccccc1)C(=O)O,C[C@H](C(=O)O[C@@H](Cc1ccccc1)C(=O)O)c1ccccc1,0.832597847755227,0.4857142857142857,0.1,298.338,3.0292000000000012,3,1,63.60000000000001,6
O=C(O)[C@@H](Cc1ccccc1)[C@H](Cc1ccccc1)C(=O)O,O=C(O)[C@@H](Cc1ccccc1)[C@@H](Cc1ccccc1)C(=O)O,0.8239381713545034,1.0,0.1,298.3380000000001,2.873400000000001,2,2,74.6,7
O=C(O)[C@@H](Cc1ccccc1)[C@H](Cc1ccccc1)C(=O)O,O=C(O)[C@H](Cc1ccccc1)Cc1ccco1,0.8587763765957017,0.47058823529411764,0.1,230.263,2.765600000000001,2,1,50.44,5
O=C(O)[C@@H](Cc1ccccc1)[C@H](Cc1ccccc1)C(=O)O,O=C(O)[C@H](Cc1ccccc1)[S@](=O)Cc1ccccc1,0.888719364138424,0.5161290322580645,0.1,288.368,2.6312000000000006,2,1,54.37,6
O=C(O)[C@@H](Cc1ccccc1)[C@H](Cc1ccccc1)C(=O)O,O=C(O[C@@H](Cc1ccccc1)C(=O)O)[C@H](O)Cc1ccccc1,0.7617901728396932,0.48484848484848486,0.4,314.337,1.8291000000000002,4,2,83.83000000000001,7
O=C(O)[C@@H](Cc1ccccc1)[C@H](Cc1ccccc1)C(=O)O,C[C@H](CS(=O)(=O)[C@@H](Cc1ccccc1)C(=O)O)C(=O)O,0.7712839709501359,0.45714285714285713,0.4,300.33200000000005,0.8178000000000001,4,2,108.74,7
O=C(O)[C@@H](Cc1ccccc1)[C@H](Cc1ccccc1)C(=O)O,O=C(O)[C@@H](Cc1ccccc1)S(=O)(=O)Cc1ccccc1,0.8885887059364921,0.5333333333333333,0.4,304.367,2.297300000000001,3,1,71.44,6
O=C(O)[C@@H](Cc1ccccc1)[C@H](Cc1ccccc1)C(=O)O,O=C(O)[C@H](Cc1ccccc1)[C@@H](Cc1ccccc1)C(=O)O,0.8239381713545034,1.0,0.4,298.3380000000001,2.873400000000001,2,2,74.6,7
O=C(O)[C@@H](Cc1ccccc1)[C@H](Cc1ccccc1)C(=O)O,C[C@H](C(=O)O[C@H](Cc1ccccc1)C(=O)O)C1CC1,0.798716572304348,0.43243243243243246,0.4,262.305,2.2716000000000003,3,1,63.60000000000001,6
O=C(O)[C@@H](Cc1ccccc1)[C@H](Cc1ccccc1)C(=O)O,O=C(O)[C@@H](Cc1ccccc1)[C@@H](CC1CCCC1)C(=O)O,0.8082677612054857,0.6451612903225806,0.4,290.359,3.211000000000001,2,2,74.6,7
