original_smiles,generated_smiles,qed_score,tanimoto_similarity,min_sim_param,mw,logp,hba,hbd,tpsa,rotatable_bonds
CC(C)C1=C(Br)c2nc3ccccn3c2C(=O)C1=O,CC(C)N1CCN(C(=O)Nc2cc(Cl)c3nccn3c2)CC1=O,0.9130191738938997,0.16,0.1,335.79500000000013,2.0722,4,1,69.94999999999999,2
CC(C)C1=C(Br)c2nc3ccccn3c2C(=O)C1=O,CC(=O)N1Cc2nc3ccccc3c(=O)n2CC1(C)C,0.7300014538577726,0.18461538461538463,0.1,271.32,1.5372,4,0,55.2,0
CC(C)C1=C(Br)c2nc3ccccn3c2C(=O)C1=O,CN1C(=O)C(C)(C)CC(=O)c2nc3ccccn3c21,0.724070548142924,0.36363636363636365,0.1,257.293,1.9096999999999997,4,0,54.68000000000001,0
CC(C)C1=C(Br)c2nc3ccccn3c2C(=O)C1=O,C=CC(C)(C)n1cc(C(N)=O)c2cccnc21,0.8187198062251765,0.11940298507462686,0.1,229.283,2.0563000000000002,3,1,60.91,3
CC(C)C1=C(Br)c2nc3ccccn3c2C(=O)C1=O,CC(C)(C)C(=O)n1c2c(c(=O)c3ccccc31)CCC2,0.7365342042212351,0.140625,0.1,269.344,3.1765000000000017,3,0,39.07,0
CC(C)C1=C(Br)c2nc3ccccn3c2C(=O)C1=O,CC1(C)CC(=O)c2[nH]c3ccccc3c(=O)c2C1=O,0.785154252922822,0.12903225806451613,0.1,255.273,2.3234000000000004,3,1,67.0,0
CC(C)C1=C(Br)c2nc3ccccn3c2C(=O)C1=O,CC1(C)CC=C(C(=O)N[C@H]2CCn3c(Br)cnc32)C1,0.9090980555923736,0.125,0.1,324.22200000000004,2.953000000000001,3,1,46.92,2
CC(C)C1=C(Br)c2nc3ccccn3c2C(=O)C1=O,CC(C)(c1nc2ccccc2n1C=O)S(C)(=O)=O,0.7863979802895519,0.2033898305084746,0.1,266.322,1.3542999999999998,5,0,69.03,3
CC(C)C1=C(Br)c2nc3ccccn3c2C(=O)C1=O,CC(C)C1=C(Br)C(=O)c2c([nH]c3ccccc23)C1=O,0.8680241479932218,0.34615384615384615,0.1,318.1700000000001,3.8519000000000023,2,1,49.93,1
CC(C)C1=C(Br)c2nc3ccccn3c2C(=O)C1=O,CC(C)[C@H](C)COc1nc2c(Br)cccc2c(=O)n1CC(=O)O,0.8297414895256615,0.2,0.1,383.2420000000002,2.9145000000000003,5,1,81.42,6
CC(C)C1=C(Br)c2nc3ccccn3c2C(=O)C1=O,CC(C)C1=Cc2nc3ccccc3c(=O)n2CC1,0.7678863120902227,0.27586206896551724,0.4,240.30599999999995,2.839600000000001,3,0,34.89,1
CC(C)C1=C(Br)c2nc3ccccn3c2C(=O)C1=O,CC1(C)CC(=O)C=C(c2nc3ccccc3[nH]2)C(=O)C1,0.8645582765612924,0.171875,0.4,268.31600000000003,2.9045000000000005,3,1,62.82,1
CC(C)C1=C(Br)c2nc3ccccn3c2C(=O)C1=O,CCn1c(=O)n(CC(C)C)c(=O)c2ccccc21,0.8290809717154859,0.1896551724137931,0.4,246.31,1.8390999999999995,4,0,44.0,3
CC(C)C1=C(Br)c2nc3ccccn3c2C(=O)C1=O,CC(C)(CBr)CO[C@@H]1CC(=O)c2nc3ccccn3c(=O)c21,0.7821700356416544,0.3333333333333333,0.4,365.2270000000001,2.7597000000000005,5,0,60.669999999999995,4
CC(C)C1=C(Br)c2nc3ccccn3c2C(=O)C1=O,CC(C)CSC1=CC(=O)n2c(nc3ccccc32)C1=O,0.8694544469223139,0.24193548387096775,0.4,286.35600000000005,3.145900000000002,5,0,51.96,3
