original_smiles,generated_smiles,qed_score,tanimoto_similarity,min_sim_param,mw,logp,hba,hbd,tpsa,rotatable_bonds
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CCN1C(=O)/C(=C\c2cc(NS(C)(=O)=O)c(OC)c(SC)c2)SC1=S,0.4322817259718883,0.07766990291262135,0.1,418.5870000000001,3.0097000000000023,7,1,75.71000000000001,6
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CS/C=C/C(=O)N1CC[C@H]2S[C@@H](C(=O)OCC(=O)N[C@@H](COC(C)=O)C(C)C)CC[C@H]21,0.4014798226233375,0.09433962264150944,0.1,472.62900000000036,1.9752999999999996,8,1,102.00999999999999,9
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,C/C=C/C(=O)N1CCN(C(=O)[C@@H](CC(C)C)N2C(=O)[C@H](CC(=O)O)SC2=S)C[C@H]1CCC,0.39743269159230077,0.12149532710280374,0.1,483.6560000000003,2.5203000000000007,6,1,98.23,9
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,C/C=C/C=C/C(=O)N1CC[C@@H]2S/C(=N\C(=O)CCNC(C)=O)S[C@@H](C)[C@@H]2C[C@@H]1C(C)C,0.473294193494568,0.12149532710280374,0.1,465.68500000000023,4.027800000000004,5,1,78.84,6
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CSCCCCC(=O)N[C@@H]1CN(C(=O)/C=C(\C)CNC(=O)C(C)C)CCC1(C)C,0.4165965652242164,0.11764705882352941,0.1,425.6390000000003,2.9815000000000005,4,2,78.51,10
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,C/C=C/C(=O)NC[C@H]1[C@@H](C)CN(C[C@H](C)CC)CC(C)(C)[C@H]1CC(=O)OCC(=O)NCC(C)C,0.32959179084250967,0.09009009009009009,0.1,479.7060000000003,3.6406000000000027,5,2,87.74000000000001,12
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CCOC(=O)[C@H](C)SCC(=O)N/C(C)=C1\C(=O)/C(=C\C(=O)OC)N(C)C(=O)[C@@H]1C(C)C,0.4321575707874873,0.0970873786407767,0.1,454.54500000000024,1.4315999999999998,8,1,119.07999999999998,8
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CCn1c(=S)s/c(=C/NC(=O)CCC(=O)O)c(=O)/c(=C\CNC(=O)C(C)C)c1=O,0.453787668197076,0.07692307692307693,0.1,441.53100000000023,-0.708909999999997,8,3,134.57,8
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,COC(=O)CS/C=C/C(=O)N[C@@H]1CC[C@H]2CN(C(=O)C[C@@H](NC(=O)OC(C)(C)C)C(C)C)C[C@H]2C1,0.36114407638101964,0.08108108108108109,0.1,511.6850000000004,3.0890000000000004,7,2,114.04,9
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,COCCCN1C(=O)[C@@H](C(=O)N[C@@H](C)CC(C)C)S[C@@H](CCCCNC(C)=O)C1=O,0.25512485931594453,0.0970873786407767,0.1,443.6100000000003,1.7193000000000007,6,2,104.81,13
