original_smiles,generated_smiles,qed_score,tanimoto_similarity,min_sim_param,mw,logp,hba,hbd,tpsa,rotatable_bonds
N[C@H]1CC/C=C/CC[C@@H](C(=O)NCc2ccccc2CC(=O)O)NC(=O)C[C@H](Cc2ccc(O)cc2)NC1=O,N#Cc1ccc(CC(=O)N2CCCC[C@@H](C(=O)NCc3ccccc3)[C@@H]2CC(=O)NCC2CCCC2)cc1,0.5256964928212149,0.2079207920792079,0.1,514.6700000000004,4.110980000000002,4,2,102.30000000000001,9
N[C@H]1CC/C=C/CC[C@@H](C(=O)NCc2ccccc2CC(=O)O)NC(=O)C[C@H](Cc2ccc(O)cc2)NC1=O,C[C@H](CC(=O)N1CCC[C@@H](CCC(=O)N2CCCCC2)[C@H]1C(N)=O)NC(=O)OC(C)(C)C,0.6129707176799718,0.10476190476190476,0.1,452.59600000000023,2.174900000000001,5,2,122.04,7
N[C@H]1CC/C=C/CC[C@@H](C(=O)NCc2ccccc2CC(=O)O)NC(=O)C[C@H](Cc2ccc(O)cc2)NC1=O,CNC(=O)CC(=O)NCC[C@@H]1CCCCN(C(=O)/C=C/[C@H]2CC[C@@H](C)O2)C1,0.5167365121784421,0.10679611650485436,0.1,379.5010000000001,1.381200000000001,4,2,87.74000000000001,7
N[C@H]1CC/C=C/CC[C@@H](C(=O)NCc2ccccc2CC(=O)O)NC(=O)C[C@H](Cc2ccc(O)cc2)NC1=O,CNC(=O)CC[C@@H]1CCN(C(=O)/C=C/c2ccc(C)cc2)[C@@H]2CCCO[C@@H]2C(=O)NC[C@@H]1O,0.5796962645448257,0.13513513513513514,0.1,457.57100000000025,1.4076200000000008,5,3,107.97000000000001,5
N[C@H]1CC/C=C/CC[C@@H](C(=O)NCc2ccccc2CC(=O)O)NC(=O)C[C@H](Cc2ccc(O)cc2)NC1=O,C[C@@H]1Oc2ccccc2C(=O)N[C@H]1C(=O)N1CCCCC[C@H]1CNC(=O)/C=C/c1ccccc1,0.6698933095773603,0.18095238095238095,0.1,461.5620000000002,3.1667000000000005,4,2,87.74000000000001,5
N[C@H]1CC/C=C/CC[C@@H](C(=O)NCc2ccccc2CC(=O)O)NC(=O)C[C@H](Cc2ccc(O)cc2)NC1=O,NC(=O)Cc1ccc(CNC(=O)/C=C/[C@H]2CCCCCCN2C(=O)/C=C/c2ccccc2)cc1,0.5888911820499008,0.20618556701030927,0.1,459.5900000000002,3.7615000000000025,3,2,92.5,8
N[C@H]1CC/C=C/CC[C@@H](C(=O)NCc2ccccc2CC(=O)O)NC(=O)C[C@H](Cc2ccc(O)cc2)NC1=O,O=C(/C=C/[C@@H]1C[C@@H](O)CCCN1C(=O)C[C@@H]1CCCNC1)NCCc1ccccc1,0.5977042799078425,0.1619047619047619,0.1,413.5620000000001,2.0332000000000003,4,3,81.67,7
N[C@H]1CC/C=C/CC[C@@H](C(=O)NCc2ccccc2CC(=O)O)NC(=O)C[C@H](Cc2ccc(O)cc2)NC1=O,O=C1CC[C@@H](C(=O)NCc2ccccc2)CCCCNC(=O)/C(=C\c2ccc(O)cc2)CCN1,0.5220236161989875,0.2967032967032967,0.1,463.5780000000002,3.2948000000000013,4,4,107.53000000000002,4
N[C@H]1CC/C=C/CC[C@@H](C(=O)NCc2ccccc2CC(=O)O)NC(=O)C[C@H](Cc2ccc(O)cc2)NC1=O,COC(=O)/C=C/CN1CCCCCC[C@@H](C(=O)OCC(N)=O)CC1=O,0.5497105674706877,0.12121212121212122,0.1,354.40300000000013,0.5431000000000005,6,1,116.0,6
N[C@H]1CC/C=C/CC[C@@H](C(=O)NCc2ccccc2CC(=O)O)NC(=O)C[C@H](Cc2ccc(O)cc2)NC1=O,CCOc1cccc2c1C(=O)N[C@H](CCCCC(=O)N1[C@H](C)CCC[C@H]1C)C(=O)N2,0.6675647905135882,0.1553398058252427,0.1,415.53400000000016,3.4857000000000022,4,2,87.74000000000001,7
N[C@H]1CC/C=C/CC[C@@H](C(=O)NCc2ccccc2CC(=O)O)NC(=O)C[C@H](Cc2ccc(O)cc2)NC1=O,C[C@@H]1N[C@H](C)[C@H](CCC(=O)NCc2cccc(C(F)(F)F)c2)NC(=O)c2ccccc2NC1=O,0.5326554279344539,0.18269230769230768,0.4,476.49900000000014,3.2191,4,4,99.33000000000001,5
N[C@H]1CC/C=C/CC[C@@H](C(=O)NCc2ccccc2CC(=O)O)NC(=O)C[C@H](Cc2ccc(O)cc2)NC1=O,O=C1CCCCC[C@H](C(=O)NCc2ccc(C(=O)NCc3ccccc3)cc2)NC(=O)[C@H](/C=C/c2ccc(O)cc2)N1,0.2830055390416219,0.3516483516483517,0.4,568.6740000000002,3.5855000000000015,5,5,136.63,8
N[C@H]1CC/C=C/CC[C@@H](C(=O)NCc2ccccc2CC(=O)O)NC(=O)C[C@H](Cc2ccc(O)cc2)NC1=O,COc1cccc(CNC(=O)[C@H]2C(=O)NCCCC[C@@H](CNC(=O)OCc3ccccc3)[C@H]2O)c1,0.4264053242127471,0.2376237623762376,0.4,483.5650000000002,2.131199999999999,6,4,125.99000000000001,8
