original_smiles,generated_smiles,qed_score,tanimoto_similarity,min_sim_param,mw,logp,hba,hbd,tpsa,rotatable_bonds
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,C[C@@H]1CCCC[C@@H](OC[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](Cc2ccc(C(=O)O)c(O)c(=O)c2)N2CCCC2)[C@@H]1O,0.24431746049548866,0.10483870967741936,0.1,509.5960000000004,0.4963999999999998,9,6,167.99,10
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,C[C@@H](O)[C@@](C)(O)[C@@H](C)C(=O)OC[C@H]1C[C@H](NC(=O)OC(C)(C)C)[C@@H]2[C@H]1CC[C@H]2O,0.4855800839777013,0.08771929824561403,0.1,415.5270000000002,1.5977999999999988,7,4,125.32000000000002,6
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,C[C@H](C[C@@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C[C@H]1O[C@@H]1C(=O)N(C)C[C@@H]1c1ccccc1)[C@H](O)C(=O)OC(C)(C)C,0.24854881514223395,0.11475409836065574,0.1,523.6230000000003,0.18830000000000213,9,5,156.98999999999998,7
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,C[C@H](C[C@H](C)O[C@@H]1C[C@H](O)C[C@@H](O)[C@H](O)[C@@H]1O)[C@@H](C)NC(=O)OC(C)(C)C,0.42621155748784895,0.11214953271028037,0.1,391.50500000000017,0.936899999999999,7,5,128.48,6
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,CC[C@H](C)[C@H](O)C(=O)N1CCO[C@]2(COCCN(C(=O)[C@H]3CC[C@H](NC(=O)OC(C)(C)C)[C@@H]3O)C2)C1,0.48369702684808824,0.14049586776859505,0.1,513.6320000000003,0.514000000000004,8,3,137.87,5
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,C[C@@H]1CC(O[C@H]2C[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)[C@H]2O)=C[C@@H](O)[C@H](O)[C@H]1O,0.23619496752769314,0.1134020618556701,0.1,350.36400000000003,-3.4137999999999997,9,8,171.07,2
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,C[C@@H]1O[C@@](C)(CO[C@@H]2CC[C@@H](O)[C@@H](O)[C@@H](O)[C@H]2O)N(C(=O)OC(C)(C)C)[C@H](C)[C@@H](O)[C@@H]1O,0.28695088922804324,0.1388888888888889,0.1,465.5400000000002,-0.9086999999999974,10,6,169.37999999999997,3
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,C[C@H]1[C@@H](O)[C@H](N(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)CC[C@H]1C,0.31978272037942984,0.15463917525773196,0.1,335.3970000000002,-2.3237999999999976,7,6,141.69,6
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,C=C[C@@](C)(O)CC[C@H](C)[C@H](C)OC[C@@]12CCCN(C(=O)[C@H](C)CCNC(=O)OC(C)(C)C)[C@H]1CC2,0.3700509118662075,0.0859375,0.1,494.7170000000003,5.066900000000005,5,2,88.10000000000001,12
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,Cc1ccc(C[C@H](C)C(=O)NC[C@@H]2OC[C@@H]3CCN(C(=O)[C@@H](O)[C@@H](C)OC(C)(C)C)C[C@@H]32)cn1,0.5973345971696458,0.07462686567164178,0.1,475.6300000000002,2.112820000000001,6,2,100.99000000000001,8
