original_smiles,generated_smiles,qed_score,tanimoto_similarity,min_sim_param,mw,logp,hba,hbd,tpsa,rotatable_bonds
COCCOC[C@H](CC1(C(=O)N[C@H]2CC[C@@H](C(=O)O)CC2)CCCC1)C(=O)Oc1ccc2c(c1)CCC2,CCC[C@@H](CC1CCCCC1)C(=O)O[C@H]1CC[C@H](C(=O)O)CC1,0.6972705293016507,0.2289156626506024,0.1,324.46100000000007,4.559700000000004,3,1,63.60000000000001,7
COCCOC[C@H](CC1(C(=O)N[C@H]2CC[C@@H](C(=O)O)CC2)CCCC1)C(=O)Oc1ccc2c(c1)CCC2,CCOC(=O)CC[C@H]1C[C@H](CC(=O)OC)CC2(CCCC2)C12CCOCC2,0.6438642128886277,0.16666666666666666,0.1,380.52500000000026,4.276200000000004,5,0,61.83000000000001,6
COCCOC[C@H](CC1(C(=O)N[C@H]2CC[C@@H](C(=O)O)CC2)CCCC1)C(=O)Oc1ccc2c(c1)CCC2,CCOC(=O)CC1(C[C@@H](O)CC2CCN(C(=O)OC)CC2)CCCCC1,0.6951013519090841,0.20652173913043478,0.1,369.5020000000003,3.5096000000000025,5,1,76.07000000000001,7
COCCOC[C@H](CC1(C(=O)N[C@H]2CC[C@@H](C(=O)O)CC2)CCCC1)C(=O)Oc1ccc2c(c1)CCC2,CCOC(=O)C[C@H](CC1CCCCC1)C(=O)N1CCC(C)(C(N)=O)CC1,0.7014666807126475,0.1702127659574468,0.1,366.5020000000001,2.640200000000001,4,1,89.70000000000002,7
COCCOC[C@H](CC1(C(=O)N[C@H]2CC[C@@H](C(=O)O)CC2)CCCC1)C(=O)Oc1ccc2c(c1)CCC2,CC[C@H](C)[C@@H](Cn1c(C(=O)N2CCCC2)nnc1N1CCC(C(=O)N2CCC(C)CC2)CC1)OC,0.5593093010725284,0.1320754716981132,0.1,488.6770000000004,3.0501000000000005,7,0,83.80000000000001,8
COCCOC[C@H](CC1(C(=O)N[C@H]2CC[C@@H](C(=O)O)CC2)CCCC1)C(=O)Oc1ccc2c(c1)CCC2,CC(C)C[C@H](CC(=O)N1CCC(C)CC1)NC(=O)N1CCC([C@H]2CCCCC2=O)CC1,0.6813848374694076,0.14,0.1,433.63700000000034,4.2306000000000035,3,1,69.72,6
COCCOC[C@H](CC1(C(=O)N[C@H]2CC[C@@H](C(=O)O)CC2)CCCC1)C(=O)Oc1ccc2c(c1)CCC2,N#C[C@H](CC1CCC(CCOCc2ccccc2)CC1)C(=O)N1CCC(C(=O)O)CC1,0.5961645080248792,0.19791666666666666,0.1,426.5570000000003,4.252780000000003,4,1,90.63000000000001,9
COCCOC[C@H](CC1(C(=O)N[C@H]2CC[C@@H](C(=O)O)CC2)CCCC1)C(=O)Oc1ccc2c(c1)CCC2,O=C1C[C@@H](C(=O)NC[C@H]2CC[C@H](C(=O)O)CC2)Oc2cc(OCC3CCCCC3)ccc21,0.6607710681940673,0.22448979591836735,0.1,443.5400000000003,3.9867000000000026,5,2,101.93,7
COCCOC[C@H](CC1(C(=O)N[C@H]2CC[C@@H](C(=O)O)CC2)CCCC1)C(=O)Oc1ccc2c(c1)CCC2,COC(=O)[C@@H]1CC[C@@]2(CCCN(C(=O)COC(=O)CCC3CCCCC3)CC2)O1,0.6274439679190127,0.1485148514851485,0.1,409.52300000000037,2.9934000000000003,6,0,82.14,6
COCCOC[C@H](CC1(C(=O)N[C@H]2CC[C@@H](C(=O)O)CC2)CCCC1)C(=O)Oc1ccc2c(c1)CCC2,O=C(OCC1CCCC1)[C@H](CCCC1CCCCC1)NC(=O)C(F)(F)F,0.6330397407708902,0.13333333333333333,0.1,377.447,4.517500000000004,3,1,55.4,8
