original_smiles,generated_smiles,qed_score,tanimoto_similarity,min_sim_param,mw,logp,hba,hbd,tpsa,rotatable_bonds
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)CCCSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,C=CC(=O)N[C@H](C)C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)[C@@H](Cc3ccc(OC)cc3)NC(C)=O)C[C@@H]21,0.3998238008297377,0.2158273381294964,0.1,500.59600000000023,0.4128000000000048,6,3,126.07000000000002,10
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)CCCSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,CCC[C@H](NC)C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)[C@H](CC=C(C)C)NC(=O)OC(C)(C)C)C[C@@H]21,0.4029997873301324,0.13793103448275862,0.1,494.6770000000003,2.6038000000000014,6,3,109.00000000000001,10
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)CCCSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,C[C@H](NCc1cccs1)C(=O)NNC(=O)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCCC[C@@H]1C,0.40878357302001284,0.1956521739130435,0.1,495.64600000000036,2.058,7,4,128.87000000000003,8
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)CCCSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,COc1ccc(C(=O)N[C@@H](C)C(=O)NC[C@@H](CC(=O)N2CC(=O)N[C@H]3CCCC[C@H]3C2)NC(=O)OC(C)(C)C)cc1,0.35069065930211524,0.2302158273381295,0.1,573.6910000000004,1.7303000000000026,7,4,155.17,9
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)CCCSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,CCn1cc(C[C@H](NC(=O)OC(C)(C)C)C(=O)NCCN2C[C@H]3C=C[C@H]2[C@H]3C(=O)N2CCCC2)nn1,0.48350146305092095,0.19014084507042253,0.1,501.63200000000035,0.958800000000003,8,2,121.68999999999998,9
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)CCCSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,CC[C@H](C)[C@@H](NC(=O)c1ccc(CN2C(=O)[C@H]3CCCN(C(=O)OC(C)(C)C)[C@H]3C2=O)cc1)C(C)C,0.562178081234695,0.21052631578947367,0.1,499.6520000000003,4.3716000000000035,5,1,96.02000000000001,7
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)CCCSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,CCCC[C@@H](NC(=O)OC(C)(C)C)C(=O)N[C@H]1CC[C@H](NC(=O)C[C@@H](C)[C@@H](C)CC)CC1,0.4228730899729826,0.13953488372093023,0.1,453.66800000000035,4.685800000000003,4,3,96.53,11
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)CCCSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,CCCC[C@@H](NC(=O)CN1CCN(C[C@H](O)COc2cc(C)ccc2C)CC1)C(=O)NCCC,0.3795455181732968,0.15328467153284672,0.1,476.6620000000003,1.8619400000000013,6,3,94.14000000000001,14
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)CCCSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,COc1cc(F)cc(C[C@H](NC(C)=O)C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)CC[C@H]2NC(=O)NC2=O)C3)c1,0.3512849027259357,0.21897810218978103,0.1,517.5580000000004,0.507900000000003,6,4,145.94,9
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)CCCSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,COC[C@@H](C)C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)C[C@H](NC(=O)OC(C)(C)C)C(=O)N3CCCC3)C[C@@H]21,0.4634026705447197,0.15384615384615385,0.1,524.6590000000004,1.1544000000000025,7,2,126.51,9
