original_smiles,generated_smiles,qed_score,tanimoto_similarity,min_sim_param,mw,logp,hba,hbd,tpsa,rotatable_bonds
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,CC(C)(C)OC(=O)N1CCN(C(=O)c2n[nH]cc2C2CCCC2)CCN(S(=O)(=O)c2ccccc2F)CC1,0.623292734755957,0.22321428571428573,0.1,549.6690000000002,3.590200000000003,6,1,115.91,4
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,C[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCCC[C@H]1C1CCN(C(=O)c2nc[nH]c2C(C)(C)C)CC1,0.6678886687862742,0.22522522522522523,0.1,489.6610000000003,3.8537000000000026,5,2,107.63,4
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,CCC[C@H](C)NC(=O)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCC(c2c[nH]c3cccc(C)c23)CC1,0.4876505448800741,0.3063063063063063,0.1,498.66800000000035,4.770520000000003,4,3,103.53,8
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,C=CCC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)Cc1n[nH]c2cccc(C)c12,0.46671453205277064,0.25210084033613445,0.1,509.6510000000003,3.911520000000002,5,3,116.41999999999999,8
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,Cc1cccc2[nH]c(C(=O)N3[C@@H]4CC[C@H]3C[C@@H](NC(=O)[C@H](CCC(C)C)NC(=O)OC(C)(C)C)C4)cc12,0.4844560625551782,0.2857142857142857,0.1,510.67900000000037,5.0576200000000044,4,3,103.53000000000002,7
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,Cc1cccc2[nH]cc(CCC(=O)N3CCC([C@H]4CCCCN4C(=O)[C@H](C)NC(=O)OC(C)(C)C)CC3)c12,0.5595516781417478,0.2807017543859649,0.1,524.7060000000004,4.941820000000005,4,2,94.74,6
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)NC1CCN(C2CCN(C(=O)c3[nH]ccc3F)CC2)CC1,0.4977979942191289,0.3090909090909091,0.1,541.6680000000001,3.4750000000000023,5,3,106.76999999999998,7
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,CCCCNC(=O)[C@@]1(C)CN(C(=O)OC(C)(C)C)CCN(S(=O)(=O)c2cccc(CN(C)C)c2)C1,0.5401396283062754,0.19166666666666668,0.1,510.7010000000003,2.9122000000000012,6,1,99.26,8
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,CC[C@H](C)[C@H](Cc1ccccc1)C(=O)N1CC[C@H]2OCCC[C@@]2(CNC(=O)c2cc(C)[nH]n2)C1,0.6203132035649546,0.16279069767441862,0.1,466.6260000000003,3.7506200000000014,4,2,87.32000000000001,8
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,Cc1c[nH]cc1C(=O)N1CCC([C@@H](NC(=O)[C@@H]2CCN(C(=O)OC(C)(C)C)C2)C(=O)N2CCCC2)CC1,0.6254838113596717,0.22727272727272727,0.1,515.6550000000004,2.5395200000000004,5,2,115.05,5
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,CC[C@H](C)[C@@H](NC(=O)OC(C)(C)C)C(=O)NC1CCN(C2CCN(C(=O)[C@H](C)Cc3cnc[nH]3)CC2)CC1,0.4496573700495258,0.2608695652173913,0.4,532.7300000000002,3.099300000000003,6,3,119.66,9
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,CCCc1c(C(=O)N2C[C@@H](C)[C@H](NC(=O)[C@@H](CC(C)C)NC(=O)OC(C)(C)C)[C@@H](C)C2)[nH]c2cc[nH]c12,0.4106712665747615,0.2767857142857143,0.4,515.6990000000003,4.6007000000000025,4,4,119.32,8
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,CC[C@H](C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1CCC(c2c[nH]c3ccccc23)CC1,0.49038965767770637,0.37254901960784315,0.4,498.6680000000003,4.708100000000003,4,3,103.53,8
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,Cc1c(C(=O)N2CCC(N3CCN(C(=O)OC(C)(C)C)C[C@@H](C)C3)CC2)ccc2[nH]ncc12,0.747341480496449,0.23423423423423423,0.4,455.60300000000024,3.6647200000000018,5,1,81.77,2
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,Cc1cccc2[nH]c(C(=O)N[C@@H](CCc3ccccc3)C(=O)N3CCC(CCN(C)C)CC3)cc12,0.4831051431228088,0.24778761061946902,0.4,474.6490000000004,4.397820000000004,3,2,68.44,9
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,Cc1cc2n[nH]cc2cc1C(=O)N1CCN(C(=O)[C@H](Cc2ccc[nH]2)NC(=O)OC(C)(C)C)CC1,0.518014921010616,0.22608695652173913,0.4,480.56900000000024,2.61982,5,3,123.42,5
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,CC[C@H](C)[C@@H](N)C(=O)NC1CCN(C2CCN(C(=O)c3c[nH]c4ccccc34)CC2)CC1,0.6450488946714908,0.32038834951456313,0.4,439.6040000000002,2.7265000000000015,4,3,94.46000000000001,6
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,CCc1cc[nH]c1C(=O)N1CC2(CCCN2C(=O)[C@@H](NC(=O)OC(C)(C)C)[C@@H](C)CC)C1,0.7007236578276804,0.23008849557522124,0.4,446.5920000000002,3.3335000000000017,4,2,94.74,6
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,Cc1c[nH]cc1C(=O)N1CCC([C@@H]2CCCCN2C(=O)[C@H](Cc2cnc[nH]2)NC(=O)OC(C)(C)C)CC1,0.5472964704081219,0.226890756302521,0.4,512.6550000000003,3.4155200000000017,5,3,123.42,6
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,C[C@H](Cc1ccccc1)C(=O)N1CCC(N2CCC(NC(=O)c3c[nH]c4nccc-4c3)CC2)CC1,0.5734965236499328,0.23008849557522124,0.4,473.6210000000002,3.578500000000002,4,2,81.33,6
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,CCC[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCCC[C@@H]1C1CCN(C(=O)c2cc3ccccc3[nH]2)CC1,0.5656474008158283,0.2857142857142857,0.7,510.6790000000003,5.094600000000005,4,2,94.74000000000001,6
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,C[C@@H](CCCN(C)C(=O)OC(C)(C)C)C(=O)N1CCCC[C@@H]1C1CCN(C(=O)c2ccc3nc[nH]c3c2)CC1,0.5291339934524222,0.22950819672131148,0.7,539.7210000000002,5.079400000000005,5,1,98.84,7
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,CCC[C@@H](NC(=O)OC(C)(C)C)C(=O)N1CCCC[C@H]1C1CCN(C(=O)c2n[nH]cc2C)CC1,0.6530549423314945,0.23893805309734514,0.7,475.6340000000003,3.644820000000002,5,2,107.63,6
C[C@@H](c1c[nH]c2ccccc12)[C@@H](NC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,Cc1ccc(C(=O)N2CCCC[C@H]2C2CCN(C(=O)c3n[nH]c4c3CN(C(=O)OC(C)(C)C)CC4)CC2)cc1,0.6214268990419062,0.18487394957983194,0.7,535.6890000000004,4.558420000000004,5,1,98.84000000000002,3
