original_smiles,generated_smiles,qed_score,tanimoto_similarity,min_sim_param,mw,logp,hba,hbd,tpsa,rotatable_bonds
CC(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC1=O,CCc1ccc(CN2C(=O)[C@H](Cc3ccc(F)cc3)N(C(C)=O)[C@@H]2C(=O)NC[C@@H](CCSC)C(N)=O)cc1,0.4280309745601429,0.1557377049180328,0.1,542.6770000000004,2.487,5,2,112.81,12
CC(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC1=O,CCc1ccc([C@@H](Cc2ccccc2)NC(=O)CN2C(=O)N[C@@H](CC(=O)NC)[C@H]3SC(=O)N[C@H]32)cc1,0.4137178239266958,0.17796610169491525,0.1,509.6320000000002,2.33,5,4,119.64000000000001,9
CC(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC1=O,COc1ccc(CN2CCC(C(=O)N[C@@H](CCSC)C(=O)NCc3ccccc3)CC2)c(C(F)(F)F)c1,0.44249453085766194,0.15873015873015872,0.1,537.6480000000003,4.480300000000003,5,2,70.67,11
CC(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC1=O,CCCC[C@@H](CN1C(=O)[C@H]2S[C@@H](CC(N)=O)N(C(C)=O)[C@@H]2C1=O)NC(=O)c1ccc(CCC)cc1,0.44421373764972716,0.14754098360655737,0.1,502.63700000000034,1.8305000000000005,6,2,129.88,11
CC(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC1=O,CNC(=O)C[C@@H]1SC(=Nc2ccc(NC(C)=O)cc2)N(Cc2ccc(NC(=O)c3ccc(C)cc3)cc2)C1=O,0.38720860030613147,0.14166666666666666,0.1,543.6490000000002,4.473520000000003,6,3,119.97,8
CC(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC1=O,CSC[C@H](C)C(=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)[C@@H](CCCCN)NC(=O)c1ccc(C(F)(F)F)cc1,0.3711094089626048,0.15702479338842976,0.1,542.6680000000003,3.570100000000001,5,3,104.53,11
CC(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC1=O,CCc1ccc(C[C@@H](NC(=O)CN2C(=O)[C@@H]3[C@H](C(=O)OC)[C@H](C)S[C@H]3C2=O)c2ccc(CC)o2)cc1,0.4065548439735588,0.12096774193548387,0.1,512.6280000000003,3.0825000000000014,7,1,105.92,9
CC(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC1=O,CCc1ccc(C[C@@H](C(=O)N2CC[C@@H](SC)C[C@H]2C(N)=O)N2C(=O)N[C@@H](Cc3ccccc3)C2=O)cc1,0.4916955909691422,0.23684210526315788,0.1,522.6710000000003,2.5311000000000012,5,2,112.81,9
CC(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC1=O,COc1ccc([C@@H](Cc2ccc(C(C)C)cc2)NC(=O)CSC[C@H](NC(C)=O)C(N)=O)cc1,0.44082650815293933,0.1504424778761062,0.1,471.6230000000003,2.9417999999999997,5,3,110.52000000000001,12
CC(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC1=O,CC[C@H](C)[C@H]1NC(=S)N(CC(=O)Nc2ccc(C(=O)NCc3ccc(C(C)C)cc3)cc2)C1=O,0.4750497029660401,0.14285714285714285,0.1,480.63400000000024,3.8099000000000025,4,3,90.53999999999999,9
