original_smiles,generated_smiles,qed_score,tanimoto_similarity,min_sim_param,mw,logp,hba,hbd,tpsa,rotatable_bonds
CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(C)=O)CSC(=O)[C@@H](CCSC)NC1=O,CCCCC(=O)N[C@H](C)C(=O)N1CCN(C(=O)Cn2c(=S)[nH]c3ccccc3c2=O)[C@@H]2CCCC[C@@H]21,0.5538734297655589,0.1743119266055046,0.1,513.6640000000002,2.73599,6,2,107.50999999999999,7
CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(C)=O)CSC(=O)[C@@H](CCSC)NC1=O,CCCCN1C(=O)[C@H]2[C@@H](C(=O)N(CC(C)C)C(=O)NC(C)=O)[C@@H](NC(C)=O)[C@H](F)[C@H](SC)[C@@H]2C1=O,0.4670732007980671,0.16822429906542055,0.1,514.6200000000001,1.332600000000002,7,2,132.95999999999998,8
CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(C)=O)CSC(=O)[C@@H](CCSC)NC1=O,CC(=O)N[C@H](CSC(C)=O)C(=O)N1[C@@H]2CC[C@H]1C[C@@H](NC(=O)[C@H](C)NC(=O)c1ccc(C)cc1)C2,0.4953199924052648,0.1619047619047619,0.1,502.6370000000002,1.5359200000000004,6,3,124.68,8
CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(C)=O)CSC(=O)[C@@H](CCSC)NC1=O,CSCCC[C@H](NC(=O)CSC)C(=O)NC[C@H]1CC(=O)N([C@@H]2C[C@H]2C)C1=O,0.3841620483442125,0.1782178217821782,0.1,415.58100000000024,0.8771000000000004,6,2,95.58000000000001,11
CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(C)=O)CSC(=O)[C@@H](CCSC)NC1=O,CC(=O)N[C@@H](C)C(=O)NC[C@@H]1CCCCCN1C(=O)[C@@H](CSC(C)=O)NC(C)=O,0.5066431723147178,0.12871287128712872,0.1,428.5550000000001,0.1828000000000028,6,3,124.68,8
CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(C)=O)CSC(=O)[C@@H](CCSC)NC1=O,C#CCNC(=O)[C@@H]1C[C@@]2(CCCCN2C)CC(=O)N1CC(=O)NCC(=O)NCC(C)C,0.4458924998806408,0.11607142857142858,0.1,433.55300000000017,-0.5302999999999949,5,3,110.85,8
CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(C)=O)CSC(=O)[C@@H](CCSC)NC1=O,CSC[C@H](NC(C)=O)C(=O)N1CC[C@H]2OCCC[C@@]2(CNC(=O)[C@H](NC(=O)OCc2ccccc2)C(C)C)C1,0.37793826166713324,0.19658119658119658,0.1,562.7330000000002,2.3190000000000035,7,3,126.07000000000001,11
CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(C)=O)CSC(=O)[C@@H](CCSC)NC1=O,CC[C@H](C)[C@@H](NC(=O)[C@@H](CC(C)C)NC(C)=O)C(=O)N1CC[C@H]2[C@H](CCN2C(=O)CNC(=O)c2ccc(F)cc2)C1,0.3736517331792937,0.15384615384615385,0.1,573.7100000000003,2.086600000000003,5,3,127.91999999999999,11
CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(C)=O)CSC(=O)[C@@H](CCSC)NC1=O,CC(=O)N[C@H]1C[C@H](C(=O)N[C@@H](C)Cc2cccs2)N(C(=O)[C@@H](CSC(C)=O)NC(C)=O)C1,0.4755934288456696,0.18867924528301888,0.1,482.62800000000027,0.6853000000000007,7,3,124.68,9
CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(C)=O)CSC(=O)[C@@H](CCSC)NC1=O,CNC(=O)C[C@H]1SC(=S)N(CC(=O)NC2CCCC2)C1=O,0.7144776560544889,0.125,0.1,329.44700000000023,0.4101999999999999,5,2,78.51,5
CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(C)=O)CSC(=O)[C@@H](CCSC)NC1=O,CC[C@@H](C)CNC(=O)N[C@H](C)C(=O)N1CC[C@@H](NC(=O)[C@H](C)c2ccccc2)[C@H](C)C1,0.5922936188366184,0.19607843137254902,0.4,430.5930000000002,2.8771000000000013,3,3,90.53999999999999,8
CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(C)=O)CSC(=O)[C@@H](CCSC)NC1=O,CCCCn1c(=O)c2ccccc2c(=O)n([C@@H](C)C(=O)NC(=S)NC(=O)CC)c1=O,0.6523005758488468,0.15,0.4,432.5020000000002,0.8118,8,2,119.26999999999998,6
CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(C)=O)CSC(=O)[C@@H](CCSC)NC1=O,CC[C@H]1S[C@@H]([C@H](NC(=O)OC(C)(C)C)C(=O)N2CCC([C@@H](C)NC(=O)CSC)CC2)NC1=O,0.46445278297345954,0.18691588785046728,0.4,502.7030000000003,1.9537000000000015,7,3,116.84,8
CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(C)=O)CSC(=O)[C@@H](CCSC)NC1=O,CCCCCN1C(=O)[C@H](CC(=O)NC)SC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C)C1=O,0.3867619289373534,0.3191489361702128,0.4,476.5990000000002,1.608899999999999,6,3,124.68,8
CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(C)=O)CSC(=O)[C@@H](CCSC)NC1=O,CCCC(=O)N[C@H](CSC)C(=O)N1C[C@@H](C)[C@H](NC(=O)CCc2ccccc2)[C@@H](C)C1,0.5781325448541512,0.24210526315789474,0.4,447.6450000000002,2.8663000000000007,4,2,78.51,10
CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(C)=O)CSC(=O)[C@@H](CCSC)NC1=O,CCC[C@@H](C)C(=O)NC(=S)N[C@@H](CCSC(C)=O)C(=O)N[C@@H]1Cc2ccccc2NC1=O,0.4018911405234627,0.23076923076923078,0.4,478.6400000000002,2.1312999999999995,6,4,116.4,9
CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(C)=O)CSC(=O)[C@@H](CCSC)NC1=O,CCCNC(=O)[C@H](CC(=O)NC(=S)NC(=O)CC(C)C)n1c(=S)sc2ccccc2c1=O,0.48711954592437534,0.16346153846153846,0.4,494.6640000000002,2.813290000000001,8,3,109.30000000000001,8
CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(C)=O)CSC(=O)[C@@H](CCSC)NC1=O,CSCC[C@@H](NC(=O)C(C)C)C(=O)N1C[C@@H](C)S[C@@H](C)[C@H]1C(=O)N[C@@H](C)C(=O)Nc1ccccc1,0.43623213161851465,0.2376237623762376,0.4,522.7370000000002,2.7447000000000017,6,3,107.61000000000001,10
CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(C)=O)CSC(=O)[C@@H](CCSC)NC1=O,CC(C)CS(=O)(=O)N[C@H](C)C(=O)N1CC[C@@H](NC(=O)[C@@H](C)Sc2ccccc2)C(C)(C)CC1,0.5107600315587069,0.17142857142857143,0.4,497.72700000000026,3.2645000000000017,5,2,95.58000000000001,9
CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(C)=O)CSC(=O)[C@@H](CCSC)NC1=O,CC[C@H](C)N1C(=O)N([C@@H]2C[C@@H]3C(=O)N(Cc4ccccc4)C(=O)[C@@H]3C2)C(=O)[C@H](NC(C)=O)SC1=S,0.45729869202839357,0.2755102040816326,0.4,516.6450000000002,2.4932,7,1,107.1,6
CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(C)=O)CSC(=O)[C@@H](CCSC)NC1=O,CC[C@H](C)N1C(=O)[C@@H](C)C[C@@H](NC(=O)N[C@H](C)Cc2ccc(SC)cc2)C1=O,0.5393522560501581,0.22916666666666666,0.7,405.56400000000014,3.200800000000002,4,2,78.51,7
