original_smiles,generated_smiles,qed_score,tanimoto_similarity,min_sim_param,mw,logp,hba,hbd,tpsa,rotatable_bonds
CCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,CC(=O)c1cc(C)cn([C@H]2C[C@H](O)[C@@H](CO)O2)c1=O,0.7524880393941655,0.4909090909090909,0.1,267.281,2.0000000000020002e-05,6,2,88.76000000000002,3
CCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,CCc1c(O)nc(S(C)(=O)=O)n([C@H]2C[C@H](O)[C@@H](C)O2)c1=O,0.7266413734630749,0.2923076923076923,0.1,318.35100000000006,-0.4168999999999998,8,2,118.72,3
CCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,CCO[C@@H]1COC[C@@H]1n1cc(CC)c(=O)[nH]c1=O,0.8252306017800953,0.43636363636363634,0.1,254.28599999999997,0.07540000000000019,5,1,73.32,4
CCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,CCc1c(CC)n([C@H]2CC[C@@H](C)[C@H]2O)c(=O)[nH]c1=O,0.856496471991923,0.3050847457627119,0.1,266.341,0.9933000000000001,4,2,75.09,3
CCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,CCc1ccc(S(=O)(=O)Nc2ccc([C@@H]3CNC(=O)O3)cn2)cc1C(C)=O,0.7335352256624451,0.2,0.1,389.43300000000016,2.4283,6,2,114.46000000000001,6
CCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,CCO[C@@H]1C[C@H](n2cc(C(=O)OC)c(=O)[nH]c2=O)[C@H]1O,0.6885032061135102,0.3333333333333333,0.1,284.268,-0.9659999999999991,7,2,110.61999999999999,4
CCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,CCO[C@H]1[C@H](O)[C@H](n2c(N)c(CC)c(=O)[nH]c2=O)O[C@@H]1C,0.6803499006562452,0.2923076923076923,0.1,299.327,-0.6354999999999997,7,3,119.56999999999998,4
CCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,COC[C@@H]1C[C@H](n2c(=O)[nH]c3cc(F)c(F)cc32)[C@@H](C)O1,0.9423284781574376,0.21428571428571427,0.1,298.28900000000004,1.9727000000000001,4,1,56.25,3
CCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,COc1cc(/C=C/Cl)cn1-c1cc(=O)c2ccccc2[nH]1,0.804025279643737,0.12,0.1,300.745,3.536900000000001,3,1,47.019999999999996,3
CCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,C#Cc1c(O)n(Cc2ccc(F)cc2)c(=O)[nH]c1=O,0.7679124949304633,0.203125,0.1,260.224,0.4108999999999999,4,2,75.09,2
CCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,Cc1cc(=O)n(C[C@@H]2CC[C@H](CO)O2)c(=O)[nH]1,0.7375016124887119,0.2833333333333333,0.4,240.259,-0.6150799999999994,5,2,84.32,3
CCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,CCn1c(=O)ccn([C@@H]2C[C@H](CO)[C@@H](O)C2)c1=O,0.7492736342957019,0.2786885245901639,0.4,254.28599999999994,-0.6658000000000004,6,2,84.46000000000001,3
CCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,CCc1c(CN2C[C@@H](CO)[C@H](CO)C2)[nH]c(=O)c(CC)c1CC,0.7023739547766067,0.30357142857142855,0.4,322.4490000000001,1.0946999999999993,4,3,76.56,7
CCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,CCc1cn(C[C@H]2OCC[C@H]2O)c(=O)[nH]c1=O,0.7276862007844772,0.46296296296296297,0.4,240.259,-0.7511999999999992,5,2,84.32,3
