original_smiles,generated_smiles,qed_score,tanimoto_similarity,min_sim_param,mw,logp,hba,hbd,tpsa,rotatable_bonds
NC(N)=NCCC[C@@H](CS)C(=O)O,C[C@H](SCC[C@@H]1CCC[C@H]1C(N)=O)[C@H](N)C(N)=O,0.6152417097802275,0.125,0.1,273.402,0.2124000000000017,4,3,112.19999999999999,7
NC(N)=NCCC[C@@H](CS)C(=O)O,NC(=S)NCCN1CCN(C(=O)[C@H](O)C2CCC2)CC1,0.5724696115889771,0.11864406779661017,0.1,300.42800000000017,-0.8751999999999982,4,3,81.83,5
NC(N)=NCCC[C@@H](CS)C(=O)O,C[C@H](NC(=S)NCCCN(C)C)C(=O)O,0.43884253041666876,0.16,0.1,233.33699999999996,-0.12469999999999987,3,3,64.6,6
NC(N)=NCCC[C@@H](CS)C(=O)O,CC[C@H](NC(=O)CCSC(=N)N)c1cccc(O)c1,0.47299915082126726,0.12903225806451613,0.1,281.38100000000003,1.9762699999999997,4,4,99.2,6
NC(N)=NCCC[C@@H](CS)C(=O)O,CCN(CCCS(N)(=O)=O)[C@@H](C)[C@H](C)C(N)=S,0.6245432179601735,0.1320754716981132,0.1,281.447,0.297600000000002,4,2,89.42,8
NC(N)=NCCC[C@@H](CS)C(=O)O,C[C@H](C(=O)O)[C@H](C)C(=O)NCCCN(C)C,0.6215409223336292,0.1702127659574468,0.1,230.30799999999996,0.41110000000000113,3,2,69.63999999999999,7
NC(N)=NCCC[C@@H](CS)C(=O)O,CN(C)CCCSC[C@H](N)C(N)=S,0.4777964266392878,0.12244897959183673,0.1,221.39499999999998,0.28470000000000106,4,2,55.28,7
NC(N)=NCCC[C@@H](CS)C(=O)O,C[C@@H](C(N)=S)N1CCN(C2CCCC2)CC1,0.7532248743284393,0.0784313725490196,0.1,241.40399999999994,1.2211999999999994,3,1,32.5,3
NC(N)=NCCC[C@@H](CS)C(=O)O,N=C(N)SCCN1CCCC1=O,0.4907716190136322,0.12,0.1,187.26799999999997,0.23546999999999962,3,2,70.18,3
NC(N)=NCCC[C@@H](CS)C(=O)O,C[C@@H](SCC(=O)Nc1ccc(Br)cc1)c1cccc(-c2nn[nH]n2)c1,0.630914245574828,0.09722222222222222,0.1,418.3200000000001,4.062100000000003,5,2,83.56,6
NC(N)=NCCC[C@@H](CS)C(=O)O,C[C@@H](CN(C)CCC(N)=S)C(=O)O,0.6097239588860421,0.1956521739130435,0.4,204.295,0.3151,3,2,66.56,6
NC(N)=NCCC[C@@H](CS)C(=O)O,N[C@H](CSCC1=C[C@H]2C[C@@H]1CC[C@H]2N)C(=O)O,0.6335373817967376,0.15789473684210525,0.4,256.3709999999999,0.8150999999999999,4,3,89.34,5
NC(N)=NCCC[C@@H](CS)C(=O)O,COc1ccc([C@H](C)NCCc2c(C(N)=O)oc3ccccc23)cc1O,0.6054408224644602,0.0958904109589041,0.4,354.406,3.139200000000001,5,3,97.72,7
NC(N)=NCCC[C@@H](CS)C(=O)O,C[C@H](NCCC(=O)N(C)C)C(N)=S,0.6038957745262263,0.14583333333333334,0.4,203.31099999999998,-0.2710999999999991,3,2,58.36,5
NC(N)=NCCC[C@@H](CS)C(=O)O,C[C@H](S)C(=O)N1CC[C@H](C2CCN(C(=O)CN3CCNC3=O)CC2)C1,0.7065282990156112,0.1111111111111111,0.4,368.5030000000002,0.4170000000000012,4,2,72.96000000000001,4
NC(N)=NCCC[C@@H](CS)C(=O)O,NC(=S)CCCC[C@H](N)C(=O)O,0.4122980222130974,0.275,0.4,190.268,0.24479999999999996,3,3,89.34,6
NC(N)=NCCC[C@@H](CS)C(=O)O,NC1CCN(CC[C@@H]2CC(C(=O)O)=NO2)CC1,0.7245991164439222,0.14285714285714285,0.4,241.29099999999997,0.029100000000000736,5,2,88.15,4
NC(N)=NCCC[C@@H](CS)C(=O)O,NC(=S)[C@H](CN1C[C@H]2CCCC[C@H]2C1)C(=O)O,0.7372368545360798,0.2127659574468085,0.4,256.3709999999999,1.0952999999999997,3,2,66.56,4
NC(N)=NCCC[C@@H](CS)C(=O)O,N[C@H](CCC[C@H](N)C(=O)O)CC1CCCC1,0.6153586760690117,0.21739130434782608,0.4,228.33599999999996,1.4761999999999993,3,3,89.34,7
NC(N)=NCCC[C@@H](CS)C(=O)O,NC(=S)C1=NN(C[C@H](O)C2CC2)CC1,0.6504678925071354,0.09090909090909091,0.4,213.30599999999995,0.1050999999999993,4,2,61.849999999999994,4
NC(N)=NCCC[C@@H](CS)C(=O)O,C[C@H](CNCCCN(C)C)CC(N)=S,0.46689705984564905,0.14,0.7,217.38199999999998,0.8400000000000003,3,2,41.29,8
NC(N)=NCCC[C@@H](CS)C(=O)O,CN1CCN(CCCNC(N)=S)[C@@H](C(=O)O)C1,0.4278910869860204,0.16363636363636364,0.7,260.36300000000006,-1.0896999999999977,4,3,81.83,5
