original_smiles,generated_smiles,qed_score,tanimoto_similarity,min_sim_param,mw,logp,hba,hbd,tpsa,rotatable_bonds
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CC(C)CC(=O)N/C(=C/C(=O)OC(C)C)C(=O)NCCC(=O)N1C[C@@H](C)Sc2ccccc21,0.42024595532967246,0.102803738317757,0.1,475.6110000000003,3.017900000000002,6,2,104.80999999999999,9
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CC(=O)N[C@H](CC(C)C)C(=O)NC[C@@H]1CC(C)(C)O[C@H]1CNC(=O)/C=C/C(C)C,0.4818711158303215,0.10101010101010101,0.1,409.5710000000001,2.1654999999999998,4,3,96.53,10
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,C/C=C\C=C\C(=O)N1CC[C@H]2OCCC[C@@]2(CNC(=O)[C@H](NC(=O)C(C)C)C(C)(C)C)C1,0.4640496240104007,0.12264150943396226,0.1,447.62000000000023,2.8195000000000006,4,2,87.74000000000001,7
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,C/C=C/C(=O)N[C@@H]1CCN(C(=O)[C@H](CCNC(=O)OC(C)(C)C)CC(C)C)[C@H](C(=O)OC)C1,0.3981238916257696,0.11428571428571428,0.1,467.6070000000003,2.7884,6,2,114.04,9
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CC(=O)N[C@H]1C(=O)NC(=O)[C@@H](C)/C(=C(\C)CCCCCCNC(=O)OC(C)(C)C)S[C@@H]1C,0.369308149434296,0.09900990099009901,0.1,469.64800000000025,3.6545000000000014,6,3,113.60000000000001,8
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CC[C@@H](C)NC(=O)[C@@H]1S[C@@H](C)C(=O)[C@@H](C)N(C(=O)/C=C/CNC(=O)OC(C)(C)C)C(C)=C1C,0.5622056995845197,0.102803738317757,0.1,481.6590000000003,3.5660000000000016,6,2,104.81000000000002,6
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CCCCCCN1C(=O)[C@H](CC(=O)NC[C@H]2CC(=O)N(C(C)C)[C@@H]2C(C)C)S/C1=C/C(=O)O,0.3273874600418878,0.11214953271028037,0.1,481.6590000000002,3.224500000000001,5,2,107.02,12
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CC(C)CNC(=O)C[C@@H]1SC(=S)N(CC(=O)NCC(C)C)C1=O,0.635809786297815,0.09090909090909091,0.1,359.5170000000001,1.1497999999999997,5,2,78.51,8
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,C/C=C/C(=O)N[C@@H]1CN(C(=O)C[C@@H](CCCCNC(=O)OC(C)(C)C)C(C)C)C[C@H]1C,0.400958578384844,0.0970873786407767,0.1,437.6250000000002,3.882900000000002,4,2,87.74000000000001,10
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CC(=O)NC[C@H](CSc1cc(=O)n2c(n1)C(=O)O[C@@H](CNC(=O)[C@H](C)c1ccccc1)C2)CC(C)C,0.26871330784605935,0.09649122807017543,0.1,514.6480000000003,2.5927000000000007,8,2,119.39000000000001,11
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CCCC[C@@H]1NC(=S)N[C@@H](CCSC)C(C(=O)OC)=C(C)[C@@H]1NC(=O)OC(C)(C)C,0.3752783394485863,0.0970873786407767,0.4,459.6780000000003,3.527400000000002,6,3,88.69000000000001,8
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,C/C=C/C(=O)NCC[C@@H]1[C@H]2C(=O)N(CCOC)C(=O)[C@H]2C(=O)NCCSC[C@@H](C)O[C@H]1C(C)C,0.29447867643341663,0.14545454545454545,0.4,497.65800000000024,1.2253000000000023,7,2,114.04,8
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,C/C=C1/CC[C@H](NC(C)=O)[C@H](SC)C[C@@H](C(=O)OCCCCC)NC(=O)[C@H](c2nccn2C)S1,0.4057024497112029,0.11206896551724138,0.4,510.7260000000003,3.736600000000002,8,2,102.32,8
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CCCCOC(=O)[C@H]1[C@H](C)C(=O)N[C@@H](CCSC)C(=O)N1CCCCC(=O)OC(C)(C)C,0.3440977811457889,0.11538461538461539,0.4,472.64800000000037,2.9265000000000008,7,1,102.01,12
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CC[C@H](C)NC(=O)[C@H]1C(=O)O[C@@H]2C(=S)[C@H](NC(=O)OC(C)(C)C)CC[C@@]2(C)CC[C@H]1C,0.3798554931865631,0.14,0.4,454.6330000000004,3.9223000000000026,6,2,93.73,4
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CSC[C@H](C)CN1C(=O)C[C@H](NC(=O)[C@@H](CCNC(=O)OC(C)(C)C)CC(C)C)[C@H](C)C1=O,0.4345067433511458,0.09345794392523364,0.4,485.6910000000003,3.442400000000001,6,2,104.81,11
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,C/C=C/C(=O)OCC(=O)N[C@@H]1[C@@H](C)CC(C)(C)C[C@@H](NC(=O)[C@H](C)SCC)CC1(C)C,0.4262295444506388,0.09803921568627451,0.4,454.6770000000002,4.089300000000002,5,2,84.5,8
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,COC(=O)CS[C@@H](CS/C=C/C(=O)OC(C)(C)C)C(=O)N1CC[C@@H](NC(=O)NC(C)C)[C@H](C)C1,0.33591909924910923,0.1111111111111111,0.4,517.7140000000003,2.7944000000000004,8,2,114.04000000000002,10
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CC(C)[C@@H]1/C(=C\C(=O)NCc2cnn(C)c2)SCC(=O)N1CCC[C@@H](O)C(=O)OCc1ccccc1,0.34966456177326277,0.09482758620689655,0.4,514.6480000000004,2.4047,8,2,113.76,11
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,C/C=C1/S[C@@H]2C(=O)N(CCCC)C(=O)/C=C/SC/C=C\C(=O)N[C@@H]2[C@@H](C)N(CC(C)C)C1=O,0.4670018056967996,0.12962962962962962,0.4,493.6950000000002,3.3355000000000015,6,1,86.78999999999999,5
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,C/C=C/C(=O)N[C@H]1CCCN(C(=O)[C@H](CC(C)C)NC(=O)CSC[C@@H](O)COC)C1,0.3876218622622636,0.102803738317757,0.7,443.61000000000024,0.9411000000000017,6,3,107.97000000000001,12
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CSCC[C@@H](C)NC(=O)C[C@@H]1S/C(=C/c2ccc(-c3nn[nH]n3)cc2)C(=O)N(CC(C)C)[C@@H](C)NC1=O,0.3883378946475093,0.10084033613445378,0.7,545.7350000000002,2.917700000000001,8,3,132.97,10
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CN(C)CCN1C(=O)[C@@](C)(CNC(=O)OC(C)(C)C)SC1=S,0.7638904479122934,0.0851063829787234,0.7,347.50600000000003,1.691699999999999,6,1,61.879999999999995,5
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CCCN1C(=O)/C(=C\c2cnc(SC)nc2)S[C@@H](CC(C)C)C(=O)N(CC(C)C)C1=O,0.3170860381261062,0.1,0.7,464.65700000000027,4.544100000000005,7,0,83.47,8
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CC(C)Oc1ccc(/C=C/C(=O)NCCCCCCNC(=O)C(C)C)cc1,0.4301273583902762,0.08791208791208792,0.7,374.52500000000003,3.935800000000002,3,2,67.43,12
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CCCCN1C(=O)[C@H]2S/C(=N\c3ccc(F)cc3OC)C(=O)[C@H]2[C@@H](CNC(=O)O[C@H](C)C(C)C)C1=O,0.4927420230124394,0.06722689075630252,0.7,521.6110000000003,3.7208000000000023,8,1,114.37,9
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,COCCCNC(=O)C[C@@H]1SC(=S)N(CC(C)C)C(=O)[C@@H](Sc2cccc(F)c2)[C@H](C)NC1=O,0.3554977695625397,0.09243697478991597,0.7,529.7250000000003,3.2188000000000017,7,2,87.74000000000001,10
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CC[C@H]1C(=O)N([C@@H](CCSC)C(=O)OC)C(=O)C[C@H]1CNC(=O)OC(C)(C)C,0.4779520205072258,0.08823529411764706,0.7,416.54000000000025,2.2070999999999996,7,1,102.01,8
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,COCCNC(=O)C[C@@H]1SC(=O)[C@@H](NC(C)=O)[C@@H](C(C)C)C(=O)N[C@@H](C)CN(CC(C)C)C1=O,0.39367408496412754,0.12037037037037036,0.7,500.6620000000003,0.5473000000000028,7,3,133.91,9
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,CCOC(=O)C[C@H]1S/C(=C\Nc2cnn(CC)n2)C(=O)NC(C)(C)C(=O)N1CC(C)C,0.45387296406388494,0.10810810810810811,0.7,452.58100000000024,1.9567999999999992,9,2,118.44999999999997,8
O=C(CCCCCCC(=O)Nc1ccccc1)NO,NC(=O)Nc1ccc(C(=O)NCCCCCCC(=O)O)cc1,0.5206832488973606,0.34782608695652173,0.1,307.3499999999999,1.9420999999999995,3,4,121.52,9
O=C(CCCCCCC(=O)Nc1ccccc1)NO,NS(=O)(=O)c1ccc(NC(=O)CCCCCC(=O)O)cc1,0.623405794029483,0.5,0.1,314.36299999999994,1.3075999999999999,4,3,126.55999999999999,8
O=C(CCCCCCC(=O)Nc1ccccc1)NO,O=C(CCCC(=O)N[C@@H]1C[C@@H](O)C12CCCCC2)Nc1ccccc1,0.7421790720680904,0.4375,0.1,344.4549999999999,2.9953000000000003,3,3,78.43,6
O=C(CCCCCCC(=O)Nc1ccccc1)NO,N#Cc1cccc(NC(=O)CCCCCC(=O)O)c1,0.7369184276080974,0.5,0.1,260.2929999999999,2.53188,3,2,90.19000000000001,7
O=C(CCCCCCC(=O)Nc1ccccc1)NO,CCCCCCC(=O)N1CC[C@H]2CO[C@@H](CNC(=O)c3ccc[nH]3)[C@H]2C1,0.6990378243651212,0.19718309859154928,0.1,361.48600000000005,2.5784000000000002,3,2,74.43,8
O=C(CCCCCCC(=O)Nc1ccccc1)NO,O=C(O)CCCCCNC(=O)c1ccc(Nc2ccccc2)cc1,0.6124050620545956,0.38636363636363635,0.1,326.3960000000001,3.8050000000000024,3,3,78.43,9
O=C(CCCCCCC(=O)Nc1ccccc1)NO,O=C(O)CCCCCC(=O)N[C@H]1CCN(c2ccccc2)C1=O,0.7172296801871954,0.34,0.1,318.37300000000005,1.9431999999999998,3,2,86.70999999999998,8
O=C(CCCCCCC(=O)Nc1ccccc1)NO,O=C(CCCCCCCO)Nc1cccnc1,0.6809832246855255,0.5,0.1,236.31500000000005,2.3529999999999998,3,2,62.22,8
O=C(CCCCCCC(=O)Nc1ccccc1)NO,O=C(O)[C@H]1CC[C@@H](S(=O)(=O)Nc2ccccc2)CN1,0.7536000312390315,0.2653061224489796,0.1,284.33700000000005,0.6334999999999996,4,3,95.5,4
O=C(CCCCCCC(=O)Nc1ccccc1)NO,O=C(/C=C/c1ccccc1)NCCCCC(=O)Nc1ccccc1,0.5758456971996889,0.5609756097560976,0.1,322.408,3.6250000000000018,2,2,58.2,8
O=C(CCCCCCC(=O)Nc1ccccc1)NO,COC(=O)CCCCCC(=O)Nc1ccccc1,0.5968377331293111,0.6764705882352942,0.4,249.31000000000003,2.7486000000000006,3,1,55.400000000000006,7
