original_smiles,generated_smiles,qed_score,tanimoto_similarity,min_sim_param,mw,logp,hba,hbd,tpsa,rotatable_bonds
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,CC(C)CCC(=O)N1C[C@H]2COC[C@@H](C1)[C@H]2NC(=O)[C@@H](Cc1ccccc1)NS(C)(=O)=O,0.5697600109162217,0.17142857142857143,0.1,465.61600000000016,1.1727000000000027,5,2,104.81,9
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,CC(C)(C)OC(=O)NC[C@@H](Cc1ccccc1)C(=O)N1CCCC[C@H]1CNC(=O)OC(C)(C)C,0.6136720705220317,0.21,0.1,475.6300000000004,4.275800000000003,5,2,96.97000000000001,7
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,CN(C)C(=O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCC[C@H]1NC(=O)OC(C)(C)C,0.6083156326622338,0.22772277227722773,0.1,433.54900000000026,1.8563999999999987,5,3,107.97000000000001,7
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,CC(C)(C)N[C@@H]1C[C@@H]2CCCC[C@@H]2N(C(=O)[C@H](Cc2ccccc2)NC(=O)c2ccccc2O)C1,0.5800668656202145,0.3695652173913043,0.1,477.6490000000001,4.281100000000004,4,3,81.67,6
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,CO[C@H](C)[C@H](NC(=O)c1ccccc1)C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)C(C)(C)C)C[C@@H]21,0.6486963620270986,0.21100917431192662,0.1,459.5870000000004,1.8457000000000008,5,2,96.97,7
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,CC(C)(C)OC(=O)N1CC[C@@H](NC[C@@H](O)CSc2ccccc2)[C@@H]2CCCC[C@@H]21,0.6721638315162269,0.30526315789473685,0.1,420.6190000000002,4.297400000000004,5,2,61.8,6
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,CC(C)(C)OC(=O)N[C@H](Cc1ccccc1)[C@H](O)CN1CCC[C@H]2CN(Cc3ccccc3)C[C@@H]21,0.5973894054822894,0.3229166666666667,0.1,479.66500000000036,4.079700000000003,5,2,65.04,8
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,O[C@@H](Cc1ccccc1)CN(Cc1ccccc1)[C@@H]1CCCC[C@@H]1N1CCOCC1,0.7219452668297022,0.17525773195876287,0.1,408.58600000000035,3.7356000000000034,4,1,35.94,8
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,CN(C(=O)OC(C)(C)C)[C@@H](Cc1ccccc1)C(=O)N1C[C@H]2COC[C@@H](C1)[C@H]2NC(=O)[C@H]1C[C@H]2CCC[C@H]21,0.6144299314364307,0.22727272727272727,0.1,525.6900000000004,3.490400000000002,5,1,88.18,6
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,CC(C)(C)OC(=O)N1CCCC[C@@H]1CC(=O)N1[C@@H]2CC[C@H]1C[C@@H](NC(=O)[C@@H](O)Cc1ccccc1)C2,0.6250494558683707,0.22641509433962265,0.1,499.65200000000027,3.4079000000000015,5,2,99.18,6
