original_smiles,generated_smiles,qed_score,tanimoto_similarity,min_sim_param,mw,logp,hba,hbd,tpsa,rotatable_bonds
N=C(N)NCCC[C@H](NC(=O)[C@@H](CC(=O)NO)Cc1ccc2ccccc2c1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(N)=O,NC(=O)CC[C@H](N)C(=O)N1CC[C@H]2[C@@H]1CCN2C(=O)[C@H](NC(=O)OCc1ccccc1)C(=O)N1CCCC1,0.36967724367126187,0.1565217391304348,0.1,528.6100000000001,-0.3015999999999939,7,3,168.36999999999998,9
N=C(N)NCCC[C@H](NC(=O)[C@@H](CC(=O)NO)Cc1ccc2ccccc2c1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(N)=O,C[C@@H](NC(=O)OC(C)(C)C)C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)CCc3cc(C(N)=O)ccc3C#N)C[C@@H]21,0.46075616346837023,0.13333333333333333,0.1,527.6220000000003,1.482680000000002,7,3,163.85,8
N=C(N)NCCC[C@H](NC(=O)[C@@H](CC(=O)NO)Cc1ccc2ccccc2c1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(N)=O,Cc1ccc(C(=O)N2CCCC23CN(C(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C3)cc1C(N)=O,0.6063429548939752,0.1532258064516129,0.1,520.6300000000002,3.046920000000001,5,2,122.03999999999999,6
N=C(N)NCCC[C@H](NC(=O)[C@@H](CC(=O)NO)Cc1ccc2ccccc2c1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(N)=O,CCNC(=O)[C@@H](CN(C)[C@@H]1CC(=O)N(Cc2ccc(F)cc2)C1=O)NC(=O)OC(C)(C)C,0.5801912034259618,0.125,0.1,450.5110000000002,1.4143999999999994,6,2,108.05,8
N=C(N)NCCC[C@H](NC(=O)[C@@H](CC(=O)NO)Cc1ccc2ccccc2c1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(N)=O,CCOC(=O)c1c(C(=O)NCCN2CCN([C@@H](C)C(N)=O)CC2)ccnc1CNC(=O)c1ccccc1,0.36847508433750964,0.1487603305785124,0.1,510.59500000000025,0.40950000000000514,8,3,146.95999999999998,11
N=C(N)NCCC[C@H](NC(=O)[C@@H](CC(=O)NO)Cc1ccc2ccccc2c1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(N)=O,CC(C)(C)OC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)CCNC(=O)c1ccc(F)cc1,0.3491112390973419,0.1652892561983471,0.1,547.6280000000004,1.7426000000000013,6,4,159.92999999999998,10
N=C(N)NCCC[C@H](NC(=O)[C@@H](CC(=O)NO)Cc1ccc2ccccc2c1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(N)=O,CC(C)(C)OC(=O)N[C@@H](CCCNC(N)=O)C(=O)N1[C@@H]2CC[C@H]1C[C@@H](NC(=O)c1ccc(C#N)cc1)C2,0.3894262881720668,0.16666666666666666,0.1,512.6110000000002,2.151880000000002,6,4,166.64999999999998,8
N=C(N)NCCC[C@H](NC(=O)[C@@H](CC(=O)NO)Cc1ccc2ccccc2c1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(N)=O,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(C#N)cc1)C(=O)N1CC[C@@]2(CN(C(=O)CCC(N)=O)CCO2)C1,0.5528262268661777,0.1349206349206349,0.1,513.5950000000005,1.0894800000000013,7,2,155.05999999999997,7
N=C(N)NCCC[C@H](NC(=O)[C@@H](CC(=O)NO)Cc1ccc2ccccc2c1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(N)=O,CC(C)(C)OC(=O)NCc1c(C(=O)N2CC[C@H]3[C@@H]2CCN3C(=O)[C@@H](N)CCC(N)=O)[nH]c2ccccc2c1=O,0.4033610977040526,0.18032786885245902,0.1,540.6210000000003,0.9610000000000032,7,4,180.92,7
N=C(N)NCCC[C@H](NC(=O)[C@@H](CC(=O)NO)Cc1ccc2ccccc2c1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(N)=O,CNC(=O)CNC(=O)[C@@H](CNC(=O)c1ccc(C(F)(F)F)cc1)NC(=O)[C@H](C)NC(=O)OC(C)(C)C,0.32485040946437105,0.13157894736842105,0.1,517.5050000000002,0.6954000000000009,6,5,154.73,9
N=C(N)NCCC[C@H](NC(=O)[C@@H](CC(=O)NO)Cc1ccc2ccccc2c1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(N)=O,NC(=O)N[C@@H](CCCNC(=O)NC[C@@H]1CCCO1)C(=O)Nc1ccccc1C(=O)NCc1ccccc1,0.2396579329969143,0.25,0.4,510.5950000000002,1.8504000000000003,5,6,163.68,12
