Rank,Compound,SMILES,Affinity_kcal_per_mol,DLG_file,Within_Pocket
1,Cmpd_50_Kd_766nM_IC50_NA__docked,Brc1cccc([C@@H]2C[C@H](c3ccccc3I)n3nnnc3N2)c1,-10.49,Cmpd_50_Kd_766nM_IC50_NA__docked.dlg,TRUE
2,Cmpd_52_IC50_314nM_docked,Brc1cccc([C@@H]2C[C@H](c3ccccc3Br)n3nnnc3N2)c1,-10.31,Cmpd_52_IC50_314nM_docked.dlg,TRUE
3,Cmpd_59_IC50_87nM_docked,Clc1ccc(Br)cc1[C@@H]1C[C@@H](c2cccc(Br)c2)Nc2nnnn21,-10.13,Cmpd_59_IC50_87nM_docked.dlg,TRUE
4,Cmpd_70_SPA_IC50_0_16uM_docked,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)CC2,-9.96,Cmpd_70_SPA_IC50_0_16uM_docked.dlg,TRUE
5,PT2385_S19_variant_IC50_0_012uM_docked,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2,-9.84,PT2385_S19_variant_IC50_0_012uM_docked.dlg,TRUE
6,Cmpd_53_IC50_195nM_docked,Clc1ccccc1[C@@H]1C[C@@H](c2cccc(Br)c2)Nc2nnnn21,-9.82,Cmpd_53_IC50_195nM_docked.dlg,TRUE
7,Cmpd_71_SPA_IC50_0_041uM_docked,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)C(F)C2,-9.78,Cmpd_71_SPA_IC50_0_041uM_docked.dlg,TRUE
8,Cmpd_64_Kd_194nM_IC50_NA__docked,Fc1c(Cl)ccc(Cl)c1[C@@H]1C[C@@H](c2cccc(Br)c2)Nc2nnnn21,-9.74,Cmpd_64_Kd_194nM_IC50_NA__docked.dlg,TRUE
9,PT_2385_IC50_0_012uM_docked,CS(=O)(=O)C1=C2[C@H](O)C(F)(F)CC2=C(OC2=CC(=CC(F)=C2)C#N)C=C1,-9.72,PT_2385_IC50_0_012uM_docked.dlg,TRUE
10,PT_2977_IC50_0_009uM_docked,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)[C@H](F)[C@@H]2F,-9.71,PT_2977_IC50_0_009uM_docked.dlg,TRUE
11,Cmpd_51_Kd_327nM_IC50_NA__docked,Fc1ccccc1[C@@H]1C[C@@H](c2cccc(Br)c2)Nc2nnnn21,-9.54,Cmpd_51_Kd_327nM_IC50_NA__docked.dlg,TRUE
12,PT_2399_IC50_0_0098uM_docked,C1C2=C(C=CC(=C2[C@@H](C1(F)F)O)S(=O)(=O)C(F)F)OC3=CC(=CC(=C3)C#N)F,-9.47,PT_2399_IC50_0_0098uM_docked.dlg,TRUE
13,Cmpd_60_Kd_38nM_IC50_NA__docked,Fc1c(Cl)cccc1[C@@H]1C[C@@H](c2cccc(Br)c2)Nc2nnnn21,-9.37,Cmpd_60_Kd_38nM_IC50_NA__docked.dlg,TRUE
14,Cmpd_56_IC50_112nM_docked,Brc1cccc([C@@H]2C[C@H](c3cccc(Br)c3)n3nnnc3N2)c1,-9.3,Cmpd_56_IC50_112nM_docked.dlg,TRUE
15,Cmpd_66_Kd_240nM_IC50_NA__docked,Fc1c(Br)ccc(Br)c1[C@@H]1C[C@H](c2cccc(Br)c2)Nc2nnnn21,-9.3,Cmpd_66_Kd_240nM_IC50_NA__docked.dlg,TRUE
16,Cmpd_55_Kd_116nM_IC50_NA__docked,Clc1cccc([C@@H]2C[C@H](c3cccc(Br)c3)Nc3nnnn32)c1,-9.23,Cmpd_55_Kd_116nM_IC50_NA__docked.dlg,TRUE
17,Cmpd_67_Kd_85nM_IC50_NA__docked,Fc1c(Br)ccc(Cl)c1[C@@H]1C[C@H](c2cccc(Br)c2)Nc2nnnn21,-9.23,Cmpd_67_Kd_85nM_IC50_NA__docked.dlg,TRUE
18,Cmpd_63_Kd_85nM_IC50_NA__docked,Fc1ccc(Cl)c([C@@H]2C[C@H](c3cccc(Br)c3)Nc3nnnn32)c1F,-9.23,Cmpd_63_Kd_85nM_IC50_NA__docked.dlg,TRUE
19,Cmpd_69_IC50_43nM_docked,Fc1cc(Br)cc([C@@H]2C[C@H](c3cccc(Br)c3)n3nnnc3N2)c1,-9.17,Cmpd_69_IC50_43nM_docked.dlg,TRUE
20,Cmpd_31_IC50_0_12uM_docked,O=[N+]([O-])c1c(Nc2ccc(Cl)c(Cl)c2)ccc2nonc12,-8.93,Cmpd_31_IC50_0_12uM_docked.dlg,TRUE
21,Cmpd_6_IC50_0_33uM_docked,O=[N+]([O-])c1c(NCc2ccc(F)cc2Cl)ccc2nonc12,-8.89,Cmpd_6_IC50_0_33uM_docked.dlg,TRUE
22,Cmpd_28_IC50_0_09uM_docked,Fc1ccc(F)c([C@@H]2C[C@H](c3cccc(Br)c3)Nc3nnnn32)c1F,-8.84,Cmpd_28_IC50_0_09uM_docked.dlg,TRUE
23,Cmpd_61_Kd_393nM_IC50_NA__docked,Brc1cccc(C2CC(c3ccccc3)n3nnnc3N2)c1,-8.62,Cmpd_61_Kd_393nM_IC50_NA__docked.dlg,TRUE
24,Cmpd_46_IC50_248nM_docked,Fc1c(Cl)ccc(Cl)c1[C@@H]1C[C@@H](c2cccc(Br)c2)Nc2nnnn21 ,-8.57,Cmpd_46_IC50_248nM_docked.dlg,TRUE
25,Cmpd_19_IC50_0_18uM_docked,O=[N+]([O-])c1c(Nc2cccc(Cl)c2)ccc2nonc12,-8.55,Cmpd_19_IC50_0_18uM_docked.dlg,TRUE
26,Cmpd_32_IC50_0_10uM_docked,O=[N+]([O-])c1c(Nc2cc(F)cc(Cl)c2)ccc2nonc12,-8.49,Cmpd_32_IC50_0_10uM_docked.dlg,TRUE
27,Cmpd_10_IC50_0_5uM_docked,O=[N+]([O-])c1c(NCc2ccc(F)cc2C(F)(F)F)ccc2nonc12,-8.45,Cmpd_10_IC50_0_5uM_docked.dlg,TRUE
28,Cmpd_26_IC50_0_76uM_docked,O=[N+]([O-])c1c(Nc2cccc(Cl)c2F)ccc2nonc12,-8.43,Cmpd_26_IC50_0_76uM_docked.dlg,TRUE
29,Cmpd_27_IC50_0_17uM_docked,O=[N+]([O-])c1c(Nc2ccc(F)c(Cl)c2)ccc2nonc12,-8.43,Cmpd_27_IC50_0_17uM_docked.dlg,TRUE
30,Cmpd_58_Kd_159nM_IC50_NA__docked,Fc1ccc(I)cc1[C@@H]1C[C@H](c2cccc(Br)c2)Nc2nnnn21,-8.41,Cmpd_58_Kd_159nM_IC50_NA__docked.dlg,TRUE
31,Cmpd_21_IC50_0_46uM_docked,O=[N+]([O-])c1c(Nc2cccc(C(F)(F)F)c2)ccc2nonc12,-8.29,Cmpd_21_IC50_0_46uM_docked.dlg,TRUE
32,Cmpd_54_Kd_837nM_IC50_NA__docked,Clc1ccccc1[C@@H]1C[C@@H](c2cccc(I)c2)Nc2nnnn21,-8.21,Cmpd_54_Kd_837nM_IC50_NA__docked.dlg,TRUE
33,Cmpd_29_IC50_0_43uM_docked,O=[N+]([O-])c1c(Nc2cc(F)cc(C(F)(F)F)c2)ccc2nonc12,-8.19,Cmpd_29_IC50_0_43uM_docked.dlg,TRUE
34,Cmpd_57_IC50_108nM_docked,Brc1cccc([C@@H]2C[C@H](c3cccc(I)c3)n3nnnc3N2)c1,-7.49,Cmpd_57_IC50_108nM_docked.dlg,FALSE
35,Cmpd_62_Kd_411nM_IC50_NA__docked,Fc1ccc(Br)c(Cl)c1[C@@H]1C[C@@H](c2cccc(Br)c2)Nc2nnnn21,-6.44,Cmpd_62_Kd_411nM_IC50_NA__docked.dlg,FALSE
36,Cmpd_65_IC50_32nM_docked,Fc1ccc(Br)c(F)c1[C@@H]1C[C@@H](c2cccc(Br)c2)Nc2nnnn21,-6.4,Cmpd_65_IC50_32nM_docked.dlg,FALSE
