Rank,Compound,SMILES,Affinity_kcal_per_mol,DLG_file,Within_Pocket,Label,Absolute_Rank
1,ZINC001464079564_docked,Cc1ccccc1NC1(CNS(=O)(=O)Cc2ccc(F)cc2C#N)CCCC1,-11.53,ZINC001464079564_docked.dlg,True,Docked,1
2,ZINC000609375753_docked,CS(=O)(=O)c1cc(C(=O)NCc2ccccc2Oc2cccc(F)c2)cc([N+](=O)[O-])c1,-11.35,ZINC000609375753_docked.dlg,True,Docked,2
3,ZINC000594791519_docked,N#Cc1cc(F)ccc1CS(=O)(=O)N[C@@H]1CCCC12CCCCC2,-11.19,ZINC000594791519_docked.dlg,True,Docked,3
4,ZINC000732302064_docked,CS(=O)(=O)c1ccccc1NNC(=O)c1cccc(OCc2ccccc2C#N)c1,-11.17,ZINC000732302064_docked.dlg,True,Docked,4
5,ZINC000433455403_docked,Cc1cc(S(C)(=O)=O)c(C)c(S(=O)(=O)N[C@@H]2C[C@H]2c2cccc(F)c2)c1,-11.17,ZINC000433455403_docked.dlg,True,Docked,4
6,ZINC000567842833_docked,N#Cc1cc(F)ccc1CS(=O)(=O)N[C@H]1CCCCC12CCCC2,-11.12,ZINC000567842833_docked.dlg,True,Docked,6
7,ZINC000301797115_docked,CS(=O)(=O)c1cc(N[C@@H](c2ccccc2)c2cccc(F)c2)ccc1[N+](=O)[O-],-11.11,ZINC000301797115_docked.dlg,True,Docked,7
8,ZINC001126962768_docked,Cc1ccc(CNC(=O)c2cc(C#N)cc(N(C)C)c2)c(Oc2ccccc2)c1,-11.1,ZINC001126962768_docked.dlg,True,Docked,8
9,ZINC001630597344_docked,CS(=O)(=O)c1ccc(C(=O)N2CCC[C@H]2C[C@@H](O)c2cccs2)cc1Br,-11.08,ZINC001630597344_docked.dlg,True,Docked,9
10,ZINC001566343550_docked,C[C@H](NC(=O)CNS(=O)(=O)c1ccccc1[N+](=O)[O-])[C@H](O)c1cccc(F)c1,-11.08,ZINC001566343550_docked.dlg,True,Docked,9
11,ZINC001621854578_docked,CS(=O)(=O)c1cccc([C@H](NS(=O)(=O)Cc2ccc(F)cc2C#N)c2ccccc2)c1,-11.04,ZINC001621854578_docked.dlg,True,Docked,11
12,ZINC001463047770_docked,O=S(=O)(NCc1ccccc1Oc1cccc(F)c1)[C@@H]1C[C@@H]1c1cccc(F)c1,-11.0,ZINC001463047770_docked.dlg,True,Docked,12
13,ZINC000582329918_docked,N#Cc1cc(F)ccc1S(=O)(=O)NC[C@H]1CCCCN(Cc2ccccc2)C1,-10.98,ZINC000582329918_docked.dlg,True,Docked,13
14,ZINC000056003202_docked,Cc1ccc(C(=O)Nc2ccccc2COc2ccccc2)cc1S(C)(=O)=O,-10.97,ZINC000056003202_docked.dlg,True,Docked,14
15,ZINC000301797116_docked,CS(=O)(=O)c1cc(N[C@H](c2ccccc2)c2cccc(F)c2)ccc1[N+](=O)[O-],-10.97,ZINC000301797116_docked.dlg,True,Docked,14
