Rank,Compound,SMILES,Affinity_kcal_per_mol,DLG_file,Within_Pocket
3760,ZINC000839494418_docked,C[C@@H]1C[C@@H](c2cccc(F)c2)N(CC(=O)NNC(=O)c2ccc(C#N)cc2)C1,-9.17,ZINC000839494418_docked.dlg,True
3761,ZINC000354570933_docked,Cc1cc(C#N)ccc1S(=O)(=O)N[C@@H]1C[C@@H]1c1cccc(F)c1,-9.17,ZINC000354570933_docked.dlg,True
3762,ZINC000271194892_docked,CCC1CCN(C(=O)c2ccc(S(C)(=O)=O)c(Br)c2)CC1,-9.17,ZINC000271194892_docked.dlg,True
3763,ZINC000610349519_docked,C[C@H](NC(=O)NCc1ccccc1Oc1ccccc1)c1cccc(C#N)c1,-9.17,ZINC000610349519_docked.dlg,True
3764,ZINC000316924734_docked,CS(=O)(=O)c1cccc(C(=O)Nc2ccc(F)cc2C#N)c1,-9.17,ZINC000316924734_docked.dlg,True
3765,ZINC000269831764_docked,Cc1ccc(S(C)(=O)=O)cc1S(=O)(=O)NC[C@H](C)C[C@@H](C)O,-9.17,ZINC000269831764_docked.dlg,True
3766,ZINC000766178628_docked,Cc1cc(OS(=O)(=O)c2ccccc2S(C)(=O)=O)ccc1C#N,-9.17,ZINC000766178628_docked.dlg,True
3767,ZINC001656785758_docked,CS(=O)(=O)c1cccc(Cl)c1CNc1cc(F)cc(C#N)c1,-9.17,ZINC001656785758_docked.dlg,True
3768,ZINC000119881965_docked,COc1cc([C@H](C)N[C@H]2CCCCC2(C)C)ccc1S(C)(=O)=O,-9.17,ZINC000119881965_docked.dlg,True
3769,ZINC001475432856_docked,Cc1cccc(S(=O)(=O)NCc2ccc(COc3cccc(F)c3)cc2)c1C#N,-9.17,ZINC001475432856_docked.dlg,True
3770,ZINC000812526145_docked,C#C[C@H](NS(=O)(=O)c1cc(C#N)ccc1C)c1ccc(F)cc1,-9.17,ZINC000812526145_docked.dlg,True
3771,ZINC000126506353_docked,C[C@@H](O)C[C@@H](CNS(=O)(=O)c1ccc(F)cc1C#N)c1ccccc1,-9.17,ZINC000126506353_docked.dlg,True
3772,ZINC000156850880_docked,CC1CCN([C@H](C)CNS(=O)(=O)c2ccc(F)cc2C#N)CC1,-9.17,ZINC000156850880_docked.dlg,True
3773,ZINC001678948601_docked,N#C[C@@H]1CCCN(C(=O)NCc2ccccc2Oc2cccc(F)c2)C1,-9.17,ZINC001678948601_docked.dlg,True
3774,ZINC000451500964_docked,COc1ccc(C(=O)N(C)[C@@H](c2ccc(F)cc2)C(C)C)cc1S(C)(=O)=O,-9.17,ZINC000451500964_docked.dlg,True
3775,ZINC001636114374_docked,COc1ccc(C(=O)N2CCS(=O)(=O)C3(CCCCC3)C2)cc1S(C)(=O)=O,-9.17,ZINC001636114374_docked.dlg,True
3776,ZINC000921711928_docked,C[C@@H]1C[C@H](NS(=O)(=O)Cc2ccc(F)cc2C#N)CCS1,-9.17,ZINC000921711928_docked.dlg,True
3777,ZINC001607592401_docked,Cc1cc(C(=O)O)cc(S(=O)(=O)N[C@H](C)[C@@H](O)c2cccc(F)c2)c1F,-9.17,ZINC001607592401_docked.dlg,True
3778,ZINC001536520739_docked,CC[C@H](C#N)N(CC)C(=O)c1cccc(OCc2ccccc2Br)c1,-9.17,ZINC001536520739_docked.dlg,True
3779,ZINC000548567582_docked,CN([C@H](C(=O)O)c1ccc(Cl)c(Cl)c1)S(=O)(=O)c1ccc(F)cc1C#N,-9.17,ZINC000548567582_docked.dlg,True
3780,ZINC000728414610_docked,CS(=O)(=O)c1cc(C(=O)O[C@@H](c2ccncc2)c2ccc(F)cc2)ccc1Br,-9.17,ZINC000728414610_docked.dlg,True
3781,ZINC001657121891_docked,CC(=O)c1cc(F)cc(OS(=O)(=O)c2cc(C#N)ccc2C)c1,-9.17,ZINC001657121891_docked.dlg,True
3782,ZINC001655191526_docked,Cc1cc(CNS(=O)(=O)Cc2ccc(F)cc2C#N)ccc1S(N)(=O)=O,-9.17,ZINC001655191526_docked.dlg,True
3783,ZINC000748676626_docked,C[C@@H](OC(=O)c1cc(Br)cc(S(C)(=O)=O)c1F)c1ccc(C#N)cc1,-9.17,ZINC000748676626_docked.dlg,True
3784,ZINC000187687274_docked,C[C@H](c1cccc(C#N)c1)N1CCC([C@@H](O)c2ccc(F)cc2)CC1,-9.17,ZINC000187687274_docked.dlg,True
3785,ZINC000057021212_docked,Cc1ccc(S(C)(=O)=O)cc1S(=O)(=O)N[C@H](C)COc1ccc(F)cc1F,-9.17,ZINC000057021212_docked.dlg,True
3786,ZINC000593875837_docked,CS(=O)(=O)c1ccc(C(=O)N2C[C@@H]3C[C@H]2C[S@@]3=O)cc1Br,-9.17,ZINC000593875837_docked.dlg,True
3787,ZINC000195172901_docked,COc1ccc(C)cc1S(=O)(=O)N[C@@H]1C[C@@H]1c1cccc(F)c1,-9.17,ZINC000195172901_docked.dlg,True
3788,ZINC000195172922_docked,COc1ccc(C)cc1S(=O)(=O)N[C@@H]1C[C@H]1c1cccc(F)c1,-9.17,ZINC000195172922_docked.dlg,True
3789,ZINC001467148430_docked,CN1Cc2ccccc2[C@H](NC(=O)Nc2cc(F)cc(C#N)c2)C1,-9.17,ZINC001467148430_docked.dlg,True
3790,ZINC001666804560_docked,O=S(=O)(NCc1ccccc1Oc1ccccc1)c1cc(F)ccc1OC(F)F,-9.17,ZINC001666804560_docked.dlg,True
3791,ZINC000114989197_docked,Cc1ccc(C#N)cc1S(=O)(=O)NC(=O)CCCOc1cccc(F)c1,-9.17,ZINC000114989197_docked.dlg,True
3792,ZINC000451299835_docked,Cc1ccc(CNS(=O)(=O)Cc2ccc(F)cc2C#N)c(OCC2CC2)c1,-9.17,ZINC000451299835_docked.dlg,True
3793,ZINC000548766439_docked,N#C[C@@H]1CN(S(=O)(=O)NCc2ccccc2Oc2cccc(F)c2)CCO1,-9.17,ZINC000548766439_docked.dlg,True
3794,ZINC000809208323_docked,C[C@@H](NC(=O)C1(c2cc(F)cc(C#N)c2)CC1)[C@H](O)c1ccccc1,-9.17,ZINC000809208323_docked.dlg,True
3795,ZINC000158102318_docked,Cc1ccc(C#N)cc1S(=O)(=O)N[C@H](C)C[C@H](O)c1cccs1,-9.17,ZINC000158102318_docked.dlg,True
3796,ZINC000921711921_docked,C[C@H]1C[C@@H](NS(=O)(=O)Cc2ccc(F)cc2C#N)CCS1,-9.17,ZINC000921711921_docked.dlg,True
3797,ZINC000338424230_docked,C[C@H]1CC(CCNS(=O)(=O)c2ccc(F)cc2C#N)C[C@H](C)O1,-9.17,ZINC000338424230_docked.dlg,True
3798,ZINC000601497386_docked,CC1(N2CCCC2)CCN(S(=O)(=O)c2ccc(F)cc2C#N)CC1,-9.17,ZINC000601497386_docked.dlg,True
3799,ZINC000797102538_docked,CC(C)(C(=O)O[C@H]1CC[C@@H](S(C)(=O)=O)C1)c1cc(F)cc(C#N)c1,-9.17,ZINC000797102538_docked.dlg,True
3800,ZINC000765237681_docked,Cc1cc(S(C)(=O)=O)c(C)c(S(=O)(=O)N[C@H](C)C[C@@H](O)c2ccc(F)cc2)c1,-9.17,ZINC000765237681_docked.dlg,True
3801,ZINC000443038080_docked,N#Cc1cc(F)ccc1S(=O)(=O)NCc1ccc(Oc2cccc(F)c2)nc1,-9.17,ZINC000443038080_docked.dlg,True
3802,ZINC000119371595_docked,CC[C@H](NCc1ccc(S(C)(=O)=O)c(C)c1)c1ccc(F)cc1,-9.17,ZINC000119371595_docked.dlg,True
3803,ZINC000599416707_docked,CN1CCCC[C@H](CNS(=O)(=O)c2ccc(F)cc2C#N)C1,-9.17,ZINC000599416707_docked.dlg,True
3804,ZINC000155622108_docked,CC[C@@H](Sc1ccc([N+](=O)[O-])c(S(C)(=O)=O)c1)c1ccc(F)cc1,-9.17,ZINC000155622108_docked.dlg,True
3805,ZINC000751488131_docked,C[C@H](NS(=O)(=O)c1ccc(F)c(S(C)(=O)=O)c1)[C@H](O)c1cccc(F)c1,-9.17,ZINC000751488131_docked.dlg,True
3806,ZINC000537687293_docked,CCC(CC)CN(CCC#N)C(=O)c1ccc(S(C)(=O)=O)c(Br)c1,-9.17,ZINC000537687293_docked.dlg,True
3807,ZINC000841754663_docked,COc1ccc(NC(=O)N[C@@H](C)[C@@H](O)c2cccc(F)c2)cc1S(C)(=O)=O,-9.17,ZINC000841754663_docked.dlg,True
3808,ZINC000609039892_docked,N#Cc1ccc(NC(=O)CNc2cc(F)ccc2Oc2ccccc2)cc1,-9.17,ZINC000609039892_docked.dlg,True
3809,ZINC001939579565_docked,N#Cc1cc(F)cc(CN[C@@H]2CC[C@H]2OCc2ccccc2)c1,-9.17,ZINC001939579565_docked.dlg,True
3810,ZINC000803296250_docked,CNc1ccc(C#N)cc1NC(=O)c1ccc(F)c(S(C)(=O)=O)c1,-9.17,ZINC000803296250_docked.dlg,True
3811,ZINC000110996563_docked,CS(=O)(=O)c1cc(C(=O)O[C@@H](c2cccc(F)c2)c2ccccn2)ccc1Cl,-9.17,ZINC000110996563_docked.dlg,True
3812,ZINC000751485855_docked,C[C@H](NS(=O)(=O)c1cc(Br)cc(C#N)c1)[C@H](O)c1cccc(F)c1,-9.17,ZINC000751485855_docked.dlg,True
3813,ZINC001538274452_docked,CC[C@@H](NC(=O)c1cc(C#N)cc(N(C)C)c1)c1cc(F)ccc1OC,-9.17,ZINC001538274452_docked.dlg,True
3814,ZINC001462803274_docked,CCCC[C@H](CC)CNS(=O)(=O)Cc1ccc(F)cc1C#N,-9.17,ZINC001462803274_docked.dlg,True
3815,ZINC000180322556_docked,Cc1cc(F)ccc1NC(=O)c1ccc(S(C)(=O)=O)c(Br)c1,-9.17,ZINC000180322556_docked.dlg,True
3816,ZINC001116296505_docked,COc1cc([C@H](C)N[C@@H]2CCCC[C@@H]2N(C)C)ccc1S(C)(=O)=O,-9.17,ZINC001116296505_docked.dlg,True
3817,ZINC000728618446_docked,CS(=O)(=O)c1cc(C(=O)OCc2ccc(F)cc2C#N)ccc1Cl,-9.17,ZINC000728618446_docked.dlg,True
3818,ZINC000285831665_docked,C[C@H](NC(=O)C(C)(C)c1cc(F)cc(C#N)c1)[C@@H](O)c1ccc(F)cc1,-9.17,ZINC000285831665_docked.dlg,True
3819,ZINC001857790107_docked,N#Cc1cc(F)cc(Oc2ccc3c(c2C(F)F)C(=O)CS3(=O)=O)c1,-9.17,ZINC001857790107_docked.dlg,True
