Rank,Compound,SMILES,Affinity_kcal_per_mol,DLG_file,Within_Pocket
1,ZINC000000000217_docked,N/A,-9.940,ZINC000000000217_docked.dlg,True
2,ZINC000000004939_docked,N/A,-9.680,ZINC000000004939_docked.dlg,True
3,ZINC000000001019_docked,N/A,-9.530,ZINC000000001019_docked.dlg,True
4,ZINC000000002363_docked,N/A,-9.230,ZINC000000002363_docked.dlg,True
5,ZINC000000005761_docked,N/A,-9.170,ZINC000000005761_docked.dlg,True
6,ZINC000000003374_docked,N/A,-9.120,ZINC000000003374_docked.dlg,True
7,ZINC000000003047_docked,N/A,-9.020,ZINC000000003047_docked.dlg,True
8,ZINC000000001995_docked,N/A,-8.970,ZINC000000001995_docked.dlg,True
9,ZINC000000000167_docked,N/A,-8.950,ZINC000000000167_docked.dlg,True
10,ZINC000000004220_docked,N/A,-8.880,ZINC000000004220_docked.dlg,True
11,ZINC000000001557_docked,N/A,-8.870,ZINC000000001557_docked.dlg,True
12,ZINC000000000883_docked,N/A,-8.870,ZINC000000000883_docked.dlg,True
13,ZINC000000006170_docked,N/A,-8.810,ZINC000000006170_docked.dlg,True
14,ZINC000000003346_docked,N/A,-8.760,ZINC000000003346_docked.dlg,True
15,ZINC000000003117_docked,N/A,-8.750,ZINC000000003117_docked.dlg,True
16,ZINC000000003722_docked,N/A,-8.740,ZINC000000003722_docked.dlg,True
17,ZINC000000007340_docked,N/A,-8.730,ZINC000000007340_docked.dlg,True
18,ZINC000000001417_docked,N/A,-8.720,ZINC000000001417_docked.dlg,True
19,ZINC000000005807_docked,N/A,-8.700,ZINC000000005807_docked.dlg,True
20,ZINC000000007195_docked,N/A,-8.690,ZINC000000007195_docked.dlg,True
21,ZINC000000000214_docked,N/A,-8.640,ZINC000000000214_docked.dlg,True
22,ZINC000000003876_docked,N/A,-8.560,ZINC000000003876_docked.dlg,True
23,ZINC000000003605_docked,N/A,-8.530,ZINC000000003605_docked.dlg,True
24,ZINC000000002845_docked,N/A,-8.500,ZINC000000002845_docked.dlg,True
25,ZINC000000004776_docked,N/A,-8.500,ZINC000000004776_docked.dlg,True
26,ZINC000000008767_docked,N/A,-8.490,ZINC000000008767_docked.dlg,True
27,ZINC000000004164_docked,N/A,-8.480,ZINC000000004164_docked.dlg,True
28,ZINC000000007871_docked,N/A,-8.480,ZINC000000007871_docked.dlg,True
29,ZINC000000007523_docked,N/A,-8.480,ZINC000000007523_docked.dlg,True
30,ZINC000000006929_docked,N/A,-8.460,ZINC000000006929_docked.dlg,True
31,ZINC000000003106_docked,N/A,-8.460,ZINC000000003106_docked.dlg,True
32,ZINC000000004132_docked,N/A,-8.450,ZINC000000004132_docked.dlg,True
33,ZINC000000007363_docked,N/A,-8.440,ZINC000000007363_docked.dlg,True
34,ZINC000000000784_docked,N/A,-8.370,ZINC000000000784_docked.dlg,True
35,ZINC000000000996_docked,N/A,-8.320,ZINC000000000996_docked.dlg,True
36,ZINC000000004241_docked,N/A,-8.310,ZINC000000004241_docked.dlg,True
37,ZINC000000005085_docked,N/A,-8.270,ZINC000000005085_docked.dlg,True
38,ZINC000000001651_docked,N/A,-8.270,ZINC000000001651_docked.dlg,True
39,ZINC000000005411_docked,N/A,-8.270,ZINC000000005411_docked.dlg,True
40,ZINC000000004099_docked,N/A,-8.260,ZINC000000004099_docked.dlg,True
41,ZINC000000006169_docked,N/A,-8.220,ZINC000000006169_docked.dlg,True
42,ZINC000000000636_docked,N/A,-8.220,ZINC000000000636_docked.dlg,True
43,ZINC000000003542_docked,N/A,-8.200,ZINC000000003542_docked.dlg,True
44,ZINC000000000614_docked,N/A,-8.180,ZINC000000000614_docked.dlg,True
45,ZINC000000004351_docked,N/A,-8.160,ZINC000000004351_docked.dlg,True
46,ZINC000000009006_docked,N/A,-8.150,ZINC000000009006_docked.dlg,True
47,ZINC000000002124_docked,N/A,-8.150,ZINC000000002124_docked.dlg,True
48,ZINC000000005014_docked,N/A,-8.150,ZINC000000005014_docked.dlg,True
49,ZINC000000001445_docked,N/A,-8.130,ZINC000000001445_docked.dlg,True
50,ZINC000000003494_docked,N/A,-8.120,ZINC000000003494_docked.dlg,True
51,ZINC000000003008_docked,N/A,-8.070,ZINC000000003008_docked.dlg,True
52,ZINC000000006266_docked,N/A,-8.060,ZINC000000006266_docked.dlg,True
53,ZINC000000006693_docked,N/A,-8.030,ZINC000000006693_docked.dlg,True
54,ZINC000000002133_docked,N/A,-8.020,ZINC000000002133_docked.dlg,True
55,ZINC000000007872_docked,N/A,-8.010,ZINC000000007872_docked.dlg,True
56,ZINC000000001968_docked,N/A,-7.990,ZINC000000001968_docked.dlg,True
57,ZINC000000007564_docked,N/A,-7.990,ZINC000000007564_docked.dlg,True
58,ZINC000000000932_docked,N/A,-7.990,ZINC000000000932_docked.dlg,True
59,ZINC000000001801_docked,N/A,-7.980,ZINC000000001801_docked.dlg,True
60,ZINC000000000200_docked,N/A,-7.960,ZINC000000000200_docked.dlg,True
61,ZINC000000007341_docked,N/A,-7.950,ZINC000000007341_docked.dlg,True
62,ZINC000000004467_docked,N/A,-7.940,ZINC000000004467_docked.dlg,True
63,ZINC000000008036_docked,N/A,-7.930,ZINC000000008036_docked.dlg,True
64,ZINC000000001536_docked,N/A,-7.930,ZINC000000001536_docked.dlg,True
65,ZINC000000004382_docked,N/A,-7.920,ZINC000000004382_docked.dlg,True
66,ZINC000000002108_docked,N/A,-7.910,ZINC000000002108_docked.dlg,True
67,ZINC000000005006_docked,N/A,-7.890,ZINC000000005006_docked.dlg,True
68,ZINC000000004264_docked,N/A,-7.890,ZINC000000004264_docked.dlg,True
69,ZINC000000000989_docked,N/A,-7.880,ZINC000000000989_docked.dlg,True
70,ZINC000000008906_docked,N/A,-7.870,ZINC000000008906_docked.dlg,True
71,ZINC000000007312_docked,N/A,-7.850,ZINC000000007312_docked.dlg,True
72,ZINC000000000012_docked,N/A,-7.850,ZINC000000000012_docked.dlg,True
73,ZINC000000002056_docked,N/A,-7.850,ZINC000000002056_docked.dlg,True
74,ZINC000000006768_docked,N/A,-7.840,ZINC000000006768_docked.dlg,True
75,ZINC000000006138_docked,N/A,-7.840,ZINC000000006138_docked.dlg,True
76,ZINC000000001569_docked,N/A,-7.830,ZINC000000001569_docked.dlg,True
77,ZINC000000003949_docked,N/A,-7.830,ZINC000000003949_docked.dlg,True
78,ZINC000000007724_docked,N/A,-7.820,ZINC000000007724_docked.dlg,True
79,ZINC000000004882_docked,N/A,-7.810,ZINC000000004882_docked.dlg,True
80,ZINC000000001645_docked,N/A,-7.800,ZINC000000001645_docked.dlg,True
81,ZINC000000000380_docked,N/A,-7.790,ZINC000000000380_docked.dlg,True
82,ZINC000000005386_docked,N/A,-7.780,ZINC000000005386_docked.dlg,True
83,ZINC000000001037_docked,N/A,-7.780,ZINC000000001037_docked.dlg,True
84,ZINC000000005108_docked,N/A,-7.750,ZINC000000005108_docked.dlg,True
85,ZINC000000003123_docked,N/A,-7.730,ZINC000000003123_docked.dlg,True
86,ZINC000000003460_docked,N/A,-7.730,ZINC000000003460_docked.dlg,True
87,ZINC000000004579_docked,N/A,-7.710,ZINC000000004579_docked.dlg,True
88,ZINC000000001325_docked,N/A,-7.700,ZINC000000001325_docked.dlg,True
89,ZINC000000006808_docked,N/A,-7.680,ZINC000000006808_docked.dlg,True
90,ZINC000000004616_docked,N/A,-7.670,ZINC000000004616_docked.dlg,True
91,ZINC000000008039_docked,N/A,-7.670,ZINC000000008039_docked.dlg,True
92,ZINC000000008907_docked,N/A,-7.670,ZINC000000008907_docked.dlg,True
93,ZINC000000004541_docked,N/A,-7.650,ZINC000000004541_docked.dlg,True
94,ZINC000000002069_docked,N/A,-7.610,ZINC000000002069_docked.dlg,True
95,ZINC000000002068_docked,N/A,-7.600,ZINC000000002068_docked.dlg,True
96,ZINC000000006847_docked,N/A,-7.600,ZINC000000006847_docked.dlg,True
97,ZINC000000000950_docked,N/A,-7.600,ZINC000000000950_docked.dlg,True
98,ZINC000000008037_docked,N/A,-7.590,ZINC000000008037_docked.dlg,True
99,ZINC000000006156_docked,N/A,-7.580,ZINC000000006156_docked.dlg,True
100,ZINC000000007223_docked,N/A,-7.570,ZINC000000007223_docked.dlg,True
101,ZINC000000000561_docked,N/A,-7.560,ZINC000000000561_docked.dlg,True
102,ZINC000000001761_docked,N/A,-7.550,ZINC000000001761_docked.dlg,True
103,ZINC000000000707_docked,N/A,-7.540,ZINC000000000707_docked.dlg,True
104,ZINC000000007697_docked,N/A,-7.530,ZINC000000007697_docked.dlg,True
105,ZINC000000005903_docked,N/A,-7.530,ZINC000000005903_docked.dlg,True
106,ZINC000000005954_docked,N/A,-7.530,ZINC000000005954_docked.dlg,True
107,ZINC000000002102_docked,N/A,-7.520,ZINC000000002102_docked.dlg,True
108,ZINC000000003553_docked,N/A,-7.490,ZINC000000003553_docked.dlg,True
109,ZINC000000003152_docked,N/A,-7.490,ZINC000000003152_docked.dlg,True
110,ZINC000000001591_docked,N/A,-7.480,ZINC000000001591_docked.dlg,True
111,ZINC000000008179_docked,N/A,-7.480,ZINC000000008179_docked.dlg,True
112,ZINC000000000031_docked,N/A,-7.460,ZINC000000000031_docked.dlg,True
113,ZINC000000001593_docked,N/A,-7.450,ZINC000000001593_docked.dlg,True
114,ZINC000000004279_docked,N/A,-7.450,ZINC000000004279_docked.dlg,True
115,ZINC000000000889_docked,N/A,-7.440,ZINC000000000889_docked.dlg,True
116,ZINC000000001283_docked,N/A,-7.410,ZINC000000001283_docked.dlg,True
117,ZINC000000005088_docked,N/A,-7.410,ZINC000000005088_docked.dlg,True
118,ZINC000000004623_docked,N/A,-7.400,ZINC000000004623_docked.dlg,True
119,ZINC000000003788_docked,N/A,-7.400,ZINC000000003788_docked.dlg,True
120,ZINC000000008269_docked,N/A,-7.390,ZINC000000008269_docked.dlg,True
121,ZINC000000000517_docked,N/A,-7.380,ZINC000000000517_docked.dlg,True
122,ZINC000000004574_docked,N/A,-7.370,ZINC000000004574_docked.dlg,True
123,ZINC000000005882_docked,N/A,-7.370,ZINC000000005882_docked.dlg,True
124,ZINC000000003945_docked,N/A,-7.340,ZINC000000003945_docked.dlg,True
125,ZINC000000005795_docked,N/A,-7.340,ZINC000000005795_docked.dlg,True
126,ZINC000000002162_docked,N/A,-7.330,ZINC000000002162_docked.dlg,True
127,ZINC000000004551_docked,N/A,-7.330,ZINC000000004551_docked.dlg,True
128,ZINC000000003877_docked,N/A,-7.320,ZINC000000003877_docked.dlg,True
129,ZINC000000000436_docked,N/A,-7.300,ZINC000000000436_docked.dlg,True
130,ZINC000000000754_docked,N/A,-7.300,ZINC000000000754_docked.dlg,True
131,ZINC000000002036_docked,N/A,-7.290,ZINC000000002036_docked.dlg,True
132,ZINC000000000941_docked,N/A,-7.290,ZINC000000000941_docked.dlg,True
133,ZINC000000000888_docked,N/A,-7.290,ZINC000000000888_docked.dlg,True
134,ZINC000000001925_docked,N/A,-7.280,ZINC000000001925_docked.dlg,True
135,ZINC000000001002_docked,N/A,-7.260,ZINC000000001002_docked.dlg,True
