Rank,Compound,SMILES,Affinity_kcal_per_mol,DLG_file,Within_Pocket
1,ZINC000609375753_docked,CS(=O)(=O)c1cc(C(=O)NCc2ccccc2Oc2cccc(F)c2)cc([N+](=O)[O-])c1,-11.35,ZINC000609375753_docked.dlg,TRUE
2,ZINC000594791519_docked,N#Cc1cc(F)ccc1CS(=O)(=O)N[C@@H]1CCCC12CCCCC2,-11.19,ZINC000594791519_docked.dlg,TRUE
3,ZINC000732302064_docked,CS(=O)(=O)c1ccccc1NNC(=O)c1cccc(OCc2ccccc2C#N)c1,-11.17,ZINC000732302064_docked.dlg,TRUE
4,ZINC000433455403_docked,Cc1cc(S(C)(=O)=O)c(C)c(S(=O)(=O)N[C@@H]2C[C@H]2c2cccc(F)c2)c1,-11.17,ZINC000433455403_docked.dlg,TRUE
5,ZINC000567842833_docked,N#Cc1cc(F)ccc1CS(=O)(=O)N[C@H]1CCCCC12CCCC2,-11.12,ZINC000567842833_docked.dlg,TRUE
6,ZINC000301797115_docked,CS(=O)(=O)c1cc(N[C@@H](c2ccccc2)c2cccc(F)c2)ccc1[N+](=O)[O-],-11.11,ZINC000301797115_docked.dlg,TRUE
7,ZINC001126962768_docked,Cc1ccc(CNC(=O)c2cc(C#N)cc(N(C)C)c2)c(Oc2ccccc2)c1,-11.1,ZINC001126962768_docked.dlg,FALSE
8,ZINC000582329918_docked,N#Cc1cc(F)ccc1S(=O)(=O)NC[C@H]1CCCCN(Cc2ccccc2)C1,-10.98,ZINC000582329918_docked.dlg,TRUE
9,ZINC000056003202_docked,Cc1ccc(C(=O)Nc2ccccc2COc2ccccc2)cc1S(C)(=O)=O,-10.97,ZINC000056003202_docked.dlg,TRUE
10,ZINC000301797116_docked,CS(=O)(=O)c1cc(N[C@H](c2ccccc2)c2cccc(F)c2)ccc1[N+](=O)[O-],-10.97,ZINC000301797116_docked.dlg,TRUE
11,ZINC000567842834_docked,N#Cc1cc(F)ccc1CS(=O)(=O)N[C@@H]1CCCCC12CCCC2,-10.96,ZINC000567842834_docked.dlg,TRUE
12,ZINC000727714486_docked,CS(=O)(=O)c1cc(C(=O)Nc2cc(F)ccc2Oc2ccccc2)ccc1Br,-10.95,ZINC000727714486_docked.dlg,TRUE
13,ZINC000521373232_docked,CCC1CCC(CNS(=O)(=O)c2cc(S(C)(=O)=O)ccc2C)CC1,-10.94,ZINC000521373232_docked.dlg,TRUE
14,ZINC000594791518_docked,N#Cc1cc(F)ccc1CS(=O)(=O)N[C@H]1CCCC12CCCCC2,-10.93,ZINC000594791518_docked.dlg,TRUE
15,ZINC000749126254_docked,CS(=O)(=O)c1cc(C(=O)Nc2ccccc2Oc2cccc(F)c2)ccc1Br,-10.92,ZINC000749126254_docked.dlg,TRUE
16,ZINC000484141557_docked,COc1cc([C@H](C)NCC2(N[C@H](C)c3ccccc3)CCCC2)ccc1S(C)(=O)=O,-10.9,ZINC000484141557_docked.dlg,TRUE
17,ZINC000582329919_docked,N#Cc1cc(F)ccc1S(=O)(=O)NC[C@@H]1CCCCN(Cc2ccccc2)C1,-10.88,ZINC000582329919_docked.dlg,TRUE
18,ZINC000519337114_docked,Cc1cc(S(C)(=O)=O)c(C)c(S(=O)(=O)NC[C@@H](c2cccc(F)c2)N(C)C)c1,-10.87,ZINC000519337114_docked.dlg,TRUE
19,ZINC000067095629_docked,CS(=O)(=O)c1ccc(C(=O)N[C@@H]2C[C@@H]2c2cccc(F)c2)cc1[N+](=O)[O-],-10.86,ZINC000067095629_docked.dlg,TRUE
20,ZINC000469195589_docked,CS(=O)(=O)c1cc(C(=O)Nc2ccccc2Oc2cc(F)cc(F)c2)cc([N+](=O)[O-])c1,-10.86,ZINC000469195589_docked.dlg,TRUE
21,ZINC000595409276_docked,N#Cc1cc(F)ccc1CS(=O)(=O)NC[C@H]1CCCN(CC2CC2)C1,-10.85,ZINC000595409276_docked.dlg,TRUE
