Rank,Compound,SMILES,Affinity_kcal_per_mol,DLG_file,Within_Pocket
1,Cmpd_50_Kd_766nM_IC50_NA__docked,N/A,-10.490,Cmpd_50_Kd_766nM_IC50_NA__docked.dlg,True
2,Cmpd_52_IC50_314nM_docked,N/A,-10.310,Cmpd_52_IC50_314nM_docked.dlg,True
3,Cmpd_59_IC50_87nM_docked,N/A,-10.130,Cmpd_59_IC50_87nM_docked.dlg,True
4,Cmpd_70_SPA_IC50_0_16uM_docked,N/A,-9.960,Cmpd_70_SPA_IC50_0_16uM_docked.dlg,True
5,PT2385_S19_variant_IC50_0_012uM_docked,N/A,-9.840,PT2385_S19_variant_IC50_0_012uM_docked.dlg,True
6,Cmpd_53_IC50_195nM_docked,N/A,-9.820,Cmpd_53_IC50_195nM_docked.dlg,True
7,Cmpd_71_SPA_IC50_0_041uM_docked,N/A,-9.780,Cmpd_71_SPA_IC50_0_041uM_docked.dlg,True
8,Cmpd_64_Kd_194nM_IC50_NA__docked,N/A,-9.740,Cmpd_64_Kd_194nM_IC50_NA__docked.dlg,True
9,PT_2385_IC50_0_012uM_docked,N/A,-9.720,PT_2385_IC50_0_012uM_docked.dlg,True
10,PT_2977_IC50_0_009uM_docked,N/A,-9.710,PT_2977_IC50_0_009uM_docked.dlg,True
11,Cmpd_51_Kd_327nM_IC50_NA__docked,N/A,-9.540,Cmpd_51_Kd_327nM_IC50_NA__docked.dlg,True
12,PT_2399_IC50_0_0098uM_docked,N/A,-9.470,PT_2399_IC50_0_0098uM_docked.dlg,True
13,Cmpd_60_Kd_38nM_IC50_NA__docked,N/A,-9.370,Cmpd_60_Kd_38nM_IC50_NA__docked.dlg,True
14,Cmpd_56_IC50_112nM_docked,N/A,-9.300,Cmpd_56_IC50_112nM_docked.dlg,True
15,Cmpd_66_Kd_240nM_IC50_NA__docked,N/A,-9.300,Cmpd_66_Kd_240nM_IC50_NA__docked.dlg,True
16,Cmpd_55_Kd_116nM_IC50_NA__docked,N/A,-9.230,Cmpd_55_Kd_116nM_IC50_NA__docked.dlg,True
17,Cmpd_67_Kd_85nM_IC50_NA__docked,N/A,-9.230,Cmpd_67_Kd_85nM_IC50_NA__docked.dlg,True
18,Cmpd_63_Kd_85nM_IC50_NA__docked,N/A,-9.230,Cmpd_63_Kd_85nM_IC50_NA__docked.dlg,True
19,Cmpd_69_IC50_43nM_docked,N/A,-9.170,Cmpd_69_IC50_43nM_docked.dlg,True
20,Cmpd_31_IC50_0_12uM_docked,N/A,-8.930,Cmpd_31_IC50_0_12uM_docked.dlg,True
21,Cmpd_6_IC50_0_33uM_docked,N/A,-8.890,Cmpd_6_IC50_0_33uM_docked.dlg,True
22,Cmpd_28_IC50_0_09uM_docked,N/A,-8.840,Cmpd_28_IC50_0_09uM_docked.dlg,True
23,Cmpd_61_Kd_393nM_IC50_NA__docked,N/A,-8.620,Cmpd_61_Kd_393nM_IC50_NA__docked.dlg,True
24,Cmpd_46_IC50_248nM_docked,N/A,-8.570,Cmpd_46_IC50_248nM_docked.dlg,True
25,Cmpd_19_IC50_0_18uM_docked,N/A,-8.550,Cmpd_19_IC50_0_18uM_docked.dlg,True
26,Cmpd_32_IC50_0_10uM_docked,N/A,-8.490,Cmpd_32_IC50_0_10uM_docked.dlg,True
27,Cmpd_10_IC50_0_5uM_docked,N/A,-8.450,Cmpd_10_IC50_0_5uM_docked.dlg,True
28,Cmpd_26_IC50_0_76uM_docked,N/A,-8.430,Cmpd_26_IC50_0_76uM_docked.dlg,True
29,Cmpd_27_IC50_0_17uM_docked,N/A,-8.430,Cmpd_27_IC50_0_17uM_docked.dlg,True
30,Cmpd_58_Kd_159nM_IC50_NA__docked,N/A,-8.410,Cmpd_58_Kd_159nM_IC50_NA__docked.dlg,True
31,Cmpd_21_IC50_0_46uM_docked,N/A,-8.290,Cmpd_21_IC50_0_46uM_docked.dlg,True
32,Cmpd_54_Kd_837nM_IC50_NA__docked,N/A,-8.210,Cmpd_54_Kd_837nM_IC50_NA__docked.dlg,True
33,Cmpd_29_IC50_0_43uM_docked,N/A,-8.190,Cmpd_29_IC50_0_43uM_docked.dlg,True
34,Cmpd_57_IC50_108nM_docked,N/A,-7.490,Cmpd_57_IC50_108nM_docked.dlg,False
35,Cmpd_62_Kd_411nM_IC50_NA__docked,N/A,-6.440,Cmpd_62_Kd_411nM_IC50_NA__docked.dlg,False
36,Cmpd_65_IC50_32nM_docked,N/A,-6.400,Cmpd_65_IC50_32nM_docked.dlg,False
