Rank 	 Pose Confidence

1 	 0.7220495939254761
2 	 0.7063749432563782
3 	 0.6847594976425171
4 	 0.6385368704795837
5 	 0.6323078274726868
6 	 0.6087138056755066
7 	 0.5741320252418518
8 	 0.5459122657775879
9 	 0.5400611758232117
10 	 0.44103339314460754
11 	 0.43710461258888245
12 	 0.41036054491996765
13 	 0.3503555357456207
14 	 -0.6592728495597839
15 	 -0.6700162291526794
16 	 -0.6944840550422668
17 	 -1.1849836111068726
18 	 -1.2707880735397339
19 	 -1.337278127670288
20 	 -1.8744337558746338
