Ligand Number	Confidence Score
36019	1.2489
17780	1.1862
25367	1.1850
3651	1.1464
35072	1.1184
20722	1.0542
2157	1.0423
23274	1.0256
5034	1.0232
37816	1.0208
11591	0.9880
140	0.9825
19935	0.9759
37702	0.9756
3422	0.9567
37360	0.9557
28421	0.9533
17096	0.9520
17232	0.9494
3867	0.9439
24158	0.9430
19809	0.9394
17073	0.9364
29077	0.9359
22238	0.9156
38992	0.9152
18884	0.9149
21379	0.9135
32605	0.9122
401	0.9117
27532	0.9114
32836	0.9083
7269	0.9041
18543	0.9034
11059	0.9031
22399	0.9027
38745	0.8988
37661	0.8976
6036	0.8944
39804	0.8875
3696	0.8845
29704	0.8825
2063	0.8821
638	0.8800
15373	0.8800
1352	0.8776
17510	0.8757
23538	0.8694
5075	0.8690
37367	0.8688
9550	0.8679
25524	0.8664
24332	0.8632
12314	0.8604
3375	0.8601
17337	0.8594
25599	0.8588
8001	0.8554
18012	0.8549
26594	0.8534
5285	0.8524
8549	0.8518
9159	0.8507
2672	0.8504
29792	0.8489
15117	0.8487
7704	0.8487
20064	0.8487
34206	0.8483
20387	0.8456
3204	0.8454
26257	0.8451
39	0.8449
12781	0.8438
5391	0.8434
26729	0.8425
20989	0.8424
4398	0.8417
11861	0.8413
342	0.8406
27575	0.8393
16264	0.8382
27934	0.8377
15248	0.8341
21380	0.8330
33974	0.8311
7530	0.8291
3845	0.8287
40455	0.8280
29854	0.8259
28297	0.8255
7558	0.8250
4376	0.8249
24227	0.8239
37826	0.8231
36731	0.8230
7505	0.8229
5132	0.8226
8863	0.8202
9767	0.8196
29941	0.8187
9351	0.8163
7372	0.8158
11099	0.8156
20750	0.8154
38970	0.8149
18261	0.8130
5836	0.8125
27396	0.8121
14039	0.8114
5018	0.8113
1883	0.8110
29221	0.8107
38921	0.8107
39818	0.8099
4218	0.8087
9185	0.8082
3300	0.8078
411	0.8068
4632	0.8058
341	0.8051
21051	0.8038
31898	0.8038
9851	0.8036
26560	0.8023
25927	0.8016
21273	0.8006
36980	0.8002
16988	0.7999
21504	0.7998
31266	0.7992
3356	0.7980
1090	0.7977
26848	0.7966
35403	0.7964
4022	0.7963
38691	0.7963
35555	0.7956
28825	0.7955
14120	0.7953
18265	0.7952
30849	0.7951
33409	0.7942
15727	0.7939
15023	0.7920
12196	0.7920
32949	0.7911
40096	0.7911
1840	0.7911
36248	0.7908
4153	0.7905
35821	0.7896
24001	0.7895
22521	0.7889
39546	0.7889
38486	0.7884
28615	0.7878
2074	0.7873
14793	0.7864
26635	0.7862
1918	0.7858
3537	0.7855
15705	0.7855
3026	0.7850
10273	0.7832
19652	0.7825
1338	0.7822
1234	0.7819
12259	0.7817
36729	0.7815
26699	0.7809
3861	0.7805
31789	0.7803
24126	0.7802
7668	0.7799
39101	0.7793
33924	0.7778
17168	0.7774
30410	0.7770
7215	0.7751
4942	0.7743
25172	0.7742
1296	0.7724
4919	0.7714
34928	0.7711
14259	0.7708
23172	0.7707
28236	0.7704
37005	0.7694
14775	0.7694
6822	0.7691
4365	0.7684
37883	0.7683
36873	0.7683
549	0.7682
1983	0.7679
33691	0.7675
16748	0.7673
20893	0.7672
31600	0.7666
16554	0.7663
24839	0.7654
12855	0.7651
7844	0.7643
10259	0.7643
21684	0.7642
30481	0.7637
31080	0.7636
21741	0.7630
16355	0.7627
28548	0.7625
23396	0.7610
22092	0.7609
29429	0.7609
24129	0.7608
16406	0.7601
16014	0.7597
470	0.7594
15123	0.7592
34418	0.7587
14730	0.7586
35840	0.7580
28594	0.7580
4606	0.7578
5808	0.7574
12071	0.7571
14460	0.7571
11390	0.7566
38669	0.7559
6682	0.7556
4027	0.7542
8756	0.7541
8447	0.7539
20577	0.7538
10838	0.7530
12251	0.7530
11833	0.7527
10546	0.7522
