Rank 	 Pose Confidence

1 	 0.845128059387207
2 	 0.571058452129364
3 	 0.47129812836647034
4 	 0.4374730885028839
5 	 0.22614502906799316
6 	 0.21746528148651123
7 	 0.16675043106079102
8 	 0.11499572545289993
9 	 0.06275182217359543
10 	 -0.13040190935134888
11 	 -0.1409444808959961
12 	 -0.3458980321884155
13 	 -0.41382065415382385
14 	 -0.5828307271003723
15 	 -0.8031533360481262
16 	 -0.8061951994895935
17 	 -2.2324788570404053
18 	 -3.349506378173828
19 	 -4.218152046203613
20 	 -4.366057395935059
