Ligand Number	SMILES
36019	CS(=O)(=O)[C@@H]1CCC[C@@]2(C1)Nc1cc(F)ccc1O2
17780	CS(=O)(=O)[C@H]1CCC[C@]12Nc1cc(F)ccc1O2
25367	CS(=O)(=O)[C@@H]1CCC[C@@]2(C1)Nc1ccc(F)cc1O2
3651	CS(=O)(=O)[C@H]1CCC[C@@]12Nc1cc(F)ccc1O2
35072	CS(=O)(=O)[C@H]1CCC[C@]2(C1)Nc1ccc(F)cc1O2
20722	CS(=O)(=O)c1cc2c(cc1[C@@H](O)C#N)OCO2
2157	CS(=O)(=O)[C@H]1CCC[C@@]2(C1)Nc1cc(F)ccc1O2
23274	N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)CF)c3c2CC(F)(F)[C@H]3O)c1
5034	CS(=O)(=O)[C@@H]1CCC[C@]12Nc1cc(F)ccc1O2
37816	CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2
11591	CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)[C@@H](F)C2
140	N#Cc1cc(F)cc(N[C@@]23CCCC[C@@H]2CCC3)c1
19935	CCO[C@@H]1CS(=O)(=O)C[C@H]1Oc1cc(F)cc(C#N)c1
37702	N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)F)c3c2CC(F)(F)[C@H]3O)c1
3422	N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)F)c3c2CC(F)(F)[C@@H]3O)c1
37360	CN[C@@H]1CCC[C@@H]1Oc1cc(F)cc(C#N)c1
28421	C[C@H](N)[C@@H](Oc1cc(F)cc(C#N)c1)c1ccsc1
17096	CCO[C@H]1CS(=O)(=O)C[C@H]1Oc1cc(F)cc(C#N)c1
17232	CCS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2
3867	C[C@H]1C[C@H](Oc2cc(F)cc(C#N)c2)CO1
24158	CC[C@@H]1CC[C@@H](O)[C@@H](Oc2cc(F)cc(C#N)c2)C1
19809	CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@@H](O)[C@@H](F)C2
17073	N#Cc1cc(F)cc([C@H]2CO2)c1
29077	CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1C(=O)CC2
22238	N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)(F)F)c3c2CC(F)(F)[C@H]3O)c1
38992	CCN[C@@H]1CC[C@@H](Oc2cc(F)cc(C#N)c2)C1
18884	CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)[C@H](F)C2
21379	N#Cc1cc(F)cc(N[C@]23CCCC[C@H]2CCC3)c1
32605	CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)CC2(F)F
401	CCO[C@H]1CS(=O)(=O)C[C@@H]1Oc1cc(F)cc(C#N)c1
27532	C[C@H]1C[C@H](NC(=O)Nc2cc(F)cc(C#N)c2)C(=O)O1
32836	CC[C@@H]1CC[C@@H](N)[C@@H](Oc2cc(F)cc(C#N)c2)C1
7269	CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)C[C@H]2F
18543	COc1cc([C@@H](N)C#N)ccc1S(C)(=O)=O
11059	CS(=O)(=O)c1cc(F)cc([C@H](N)C#N)c1
22399	C[C@H]1CN(c2cc(F)cc(C#N)c2)S(=O)(=O)C1
38745	CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)[C@H](F)[C@@H]2F
37661	N#Cc1ccc(N2C[C@H](O)C[C@H]2c2cccc(F)c2)nc1
6036	CS(=O)(=O)[C@@H]1CCC[C@]2(C1)Nc1cc(F)ccc1O2
39804	CCN[C@H]1CC[C@@H](Oc2cc(F)cc(C#N)c2)C1
3696	N#Cc1ccc(N2C[C@@H](O)C[C@H]2c2cccc(F)c2)nc1
29704	N#Cc1ccc(N)c(OCC2(CN)CCC2)c1
2063	CC[C@H](O)c1ccccc1Oc1cc(F)cc(C#N)c1
638	N#Cc1cc(F)cc(NC(=O)N[C@H](CO)c2ccccc2)c1
15373	COc1cc(CO)ccc1Oc1cc(C#N)ccc1N
1352	CC(C)c1nc(Oc2cc(F)cc(C#N)c2)ns1
17510	CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)CC2
23538	CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)C(F)(F)[C@@H]2F
5075	C[C@H](N)[C@H](Oc1cc(F)cc(C#N)c1)c1ccsc1
37367	N#Cc1cc(F)cc(O[C@H]2CNC[C@@H]2O)c1
9550	COc1cc(C(N)=O)ccc1Oc1cc(C#N)ccc1N
25524	CS(=O)(=O)c1cc(N)ccc1Oc1cncc(F)c1
24332	CO[C@@H]1CCC[C@H]1Oc1cc(F)cc(C#N)c1
12314	Cc1ccc([C@H](O)C#N)cc1S(C)(=O)=O
3375	N#Cc1cc(F)cc(Oc2ccc3c(c2)OCC3)c1
17337	COc1ccc([C@H](N)C#N)cc1S(C)(=O)=O
25599	CC[C@@H]1CC[C@@H](N)[C@H](Oc2cc(F)cc(C#N)c2)C1
8001	N#Cc1cc(F)cc(Oc2ccc(CO)cc2C#N)c1
18012	CCO[C@@H]1CS(=O)(=O)C[C@@H]1Oc1cc(F)cc(C#N)c1
26594	CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)C[C@@H]2F
5285	C[C@@H]1C[C@H](C)C[C@@H](Oc2cc(F)cc(C#N)c2)C1
8549	CC(C)[C@H]1CC[C@@H](C)C[C@H]1Oc1cc(F)cc(C#N)c1
9159	N#Cc1cc(F)ccc1Oc1cccc(F)c1
2672	CO[C@H]1COC[C@@H]1Oc1cc(F)cc(C#N)c1
29792	O=Cc1cc(F)ccc1Oc1cc(F)cc(F)c1
15117	Cc1cc(F)cc(Oc2ccc(S(C)(=O)=O)c3c2CC(F)(F)[C@H]3O)c1
7704	N#Cc1cc(CN)ccc1Oc1cccc(F)c1
20064	CS(=O)(=O)c1cccnc1C(=O)Oc1cccc(F)c1
34206	C[C@H](N)c1cc(Br)ccc1Oc1cc(F)cc(C#N)c1
20387	N#Cc1cc(Br)ccc1Oc1cccc(F)c1
3204	CN[C@@H]1CCC[C@H]1Oc1cc(F)cc(C#N)c1
26257	N#Cc1cc(F)cc(O[C@@H]2COCC2(F)F)c1
39	N#Cc1cc(F)cc([C@H]2C[C@@H](F)CN2)c1
12781	CSc1cc([C@@H](O)C#N)ccc1S(C)(=O)=O
5391	CS(=O)(=O)c1ccc(Oc2cc(F)ccc2N)nc1
26729	N#Cc1cc(F)cc(O[C@H]2[C@H]3CCC[C@@H]3C[C@H]2O)c1
20989	N#Cc1ccc(Oc2cc(N)cc(F)c2)c(C(F)(F)F)c1
4398	CS(=O)(=O)c1ccc(C#N)cc1S(C)(=O)=O
11861	CN[C@@H]1CCC[C@@H](Oc2cc(F)cc(C#N)c2)C1
342	N#Cc1cc(F)cc(Oc2ncc(C(=O)O)cc2Br)c1
27575	N#Cc1cc(CO)ccc1Oc1ccc(F)cc1
16264	C[C@H]1C[C@@H](O)[C@H](Oc2cc(F)cc(C#N)c2)[C@@H](C)C1
27934	N#Cc1cc(F)cc(OCC2(CN)CCC2)c1
15248	CS(=O)(=O)c1cccnc1C(=O)Nc1cc(F)cc(C#N)c1
21380	CSc1cc([C@@H](N)C#N)ccc1S(C)(=O)=O
33974	CS(=O)(=O)c1cc(N)ccc1Oc1cccc(F)c1
7530	CO[C@@H]1CC(Oc2cc(F)cc(C#N)c2)C[C@H]1OC
3845	N#Cc1cc(CO)ccc1Oc1cncc(F)c1
40455	CS(=O)(=O)[C@@H]1CCC[C@@]12Nc1cc(F)ccc1O2
29854	CC(C)(N)COc1cc(F)cc(C#N)c1
28297	N#Cc1cc(F)cc(Oc2ccc(CO)cc2Br)c1
7558	CS(=O)(=O)c1ccccc1C(=O)Oc1cc(F)cc(F)c1
4376	C[C@@H]1C[C@@H](Oc2cc(F)cc(C#N)c2)C[C@H](C)O1
24227	N#Cc1cc(CN)ccc1Oc1cc(F)cc(F)c1
37826	Cc1ccc(Oc2cccc(F)c2)c(N)c1
36731	CS(=O)(=O)c1cc([N+](=O)[O-])ccc1Oc1cncc(F)c1
7505	CC1(C)CC[C@]1(Oc1cc(F)cc(C#N)c1)C(=O)O
5132	CO[C@H]1CS(=O)(=O)C[C@@H]1Oc1cc(F)cc(C#N)c1
8863	N#Cc1cccc(Oc2ccc(C(=O)O)cc2N)c1
9767	N#Cc1cc(F)cc(O[C@@]2(C(=O)O)CCC[C@@H]2CN)c1
29941	N#C[C@@H](O)c1ccc2c(c1)OC1(CCC1)O2
9351	N#Cc1cc(F)cc(O[C@@H]2CN(C3CC3)C[C@@H]2O)c1
7372	C[C@@H](N)[C@@H](Oc1cc(F)cc(C#N)c1)c1ccccn1
11099	N#Cc1cc(F)cc(OS(=O)(=O)C[C@H]2CCC2(F)F)c1
20750	CC1(C)[C@H]2[C@@H](Oc3cc(F)cc(C#N)c3)[C@@H](O)C[C@H]21
38970	Cc1ccc2c(c1)[C@@H](NC(=O)Nc1cc(F)cc(C#N)c1)CO2
18261	CS(=O)(=O)[C@@H]1CCC[C@@H](Oc2cc(F)cc(C#N)c2)C1
5836	N#Cc1cc(F)cc(O[C@H]2[C@@H]3COC[C@@H]3C[C@H]2O)c1
27396	COc1cc(CN2CCC2=O)ccc1S(C)(=O)=O
14039	N#Cc1cc(F)cc(O[C@@H]2CCC[C@@](N)(C(=O)O)C2)c1
5018	Cc1cc(CN)ccc1Oc1cc(F)cc(C#N)c1
1883	CS(=O)(=O)c1cc([N+](=O)[O-])ccc1Oc1cc(F)cc(F)c1
29221	C[C@@H](N)[C@H](Oc1cc(F)cc(C#N)c1)c1ccsc1
38921	CS(=O)(=O)c1ccc(Oc2ccccc2C#N)cc1
39818	N#Cc1ccc(N2C[C@@H](O)C[C@@H]2c2cccc(F)c2)nc1
4218	CS(=O)(=O)c1cc(OC(=O)[C@@H]2C[C@@H]2C#N)ccc1F
9185	CC1(Nc2cc(F)cc(C#N)c2)CCOCC1
3300	N#Cc1cc(F)cc(NC(=O)N[C@H]2CCc3ccccc3OC2)c1
411	Cc1cc(CO)ccc1Oc1cccc(F)c1
4632	COc1cc(C(N)=O)ccc1Oc1ccc(N)c(C#N)c1
341	CC(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c(Br)c1
21051	C[C@@H](O)c1cnc(Oc2cc(F)cc(C#N)c2)s1
31898	N#Cc1cc(F)cc(OCC2(CO)CCCC2)c1
9851	CS(=O)(=O)c1cccc(Oc2nnccc2C#N)c1
26560	N#Cc1ccc(Oc2cncc(F)c2)c2ccccc12
25927	Cc1cc(C(=O)O)cnc1Oc1cc(F)cc(C#N)c1
21273	COc1cc(C(=O)O)ccc1Oc1ccc(C#N)cc1
36980	CC[C@@H](NC)[C@@H](C)Oc1cc(F)cc(C#N)c1
16988	CC[C@H]1CCCC[C@@H]1Oc1cc(F)cc(C#N)c1
21504	N#Cc1ccc(N)c(C(N)=O)c1
31266	N#Cc1cc(Oc2ccc(F)cc2N)nc2ccccc12
3356	COc1cc(C#N)ccc1S(C)(=O)=O
1090	COc1cc([C@@H]2C[C@H](C#N)CN2)ccc1S(C)(=O)=O
26848	CC[C@H](O)C#Cc1cc(F)cc(C#N)c1
35403	N#Cc1cccc(Oc2ccc(F)cc2CO)c1
4022	CS(=O)(=O)c1cccc(Oc2cnccc2C#N)c1
38691	CS(=O)(=O)c1cc(C(=O)N(c2ccccc2C#N)C2CCC2)ccc1F
35555	CS(=O)(=O)c1cc2c(cc1[C@H](O)C#N)OCCO2
28825	N#Cc1cc(F)ccc1Oc1cccc(O)c1
14120	N#Cc1cc(F)cc(O[C@H]2[C@@H]3C[C@@H]3[C@@H]3C[C@@H]32)c1
18265	CS(=O)(=O)[C@H]1CCC[C@@H](Oc2cc(F)cc(C#N)c2)C1
30849	N#Cc1cccc(Oc2ccc(F)cc2[N+](=O)[O-])c1
33409	CSc1cc(C#N)ccc1S(C)(=O)=O
15727	CS(=O)(=O)[C@H]1CCC[C@@]2(C1)Nc1ccc(F)cc1O2
15023	N#Cc1cc(F)cc(Oc2ccc(N)cc2C#N)c1
12196	C[C@H](O)c1ccc(Oc2cc(F)cc(C#N)c2)cn1
32949	CN[C@@H]1CC[C@@H](Oc2cc(F)cc(C#N)c2)C1
40096	N#Cc1cc(F)cc(Oc2ncccc2S(N)(=O)=O)c1
1840	N#Cc1cc(C(F)(F)F)ccc1Oc1cc(F)ccc1N
36248	N#Cc1cc(F)cc(O[C@@H]2CCN3CCC[C@H]3C2)c1
4153	N#Cc1cccc(Oc2ccc(F)cc2C#N)c1
35821	N#Cc1cc(C(F)(F)F)ccc1Oc1cc(F)cc(F)c1
24001	N#Cc1cc(C(=O)O)ccc1Oc1cccc(F)c1
22521	N#Cc1cc(F)cc(Oc2ccc(C(=O)O)cc2Br)c1
39546	C[C@H](N)[C@H](Oc1cc(F)cc(C#N)c1)c1ccco1
38486	CS(=O)(=O)c1ccccc1C(=O)Oc1ccc(C#N)cc1F
28615	CN[C@@]1(CO)CC[C@@H](Oc2cc(F)cc(C#N)c2)C1
2074	CO[C@H]1CCC[C@H]1Oc1cc(F)cc(C#N)c1
14793	CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@@H](O)[C@H](F)C2
26635	C[C@@H]1CC[C@@H](N)[C@H](Oc2cc(F)cc(C#N)c2)C1
1918	CS(=O)(=O)c1ccccc1C(=O)Oc1cccc(F)c1
3537	CC(C)N[C@](C)(COc1cc(F)cc(C#N)c1)C(N)=O
15705	N#Cc1ccc(N2C[C@H](O)C[C@@H]2c2cccc(F)c2)nc1
3026	N#Cc1cc(C=O)ccc1Oc1ccc(F)cc1
10273	COc1cc([C@@H](N)CC#N)ccc1S(C)(=O)=O
19652	COc1ccc(S(C)(=O)=O)c(OC)c1
1338	C[C@@H](O)c1cc(Br)ccc1Oc1cc(F)cc(C#N)c1
1234	C[C@@H](N)c1cc(F)ccc1Oc1ccc(C#N)cc1
12259	N#Cc1cc(F)cc([C@@H]2CC[C@@H](CO)N2)c1
36729	N#Cc1cc(CBr)ccc1Oc1cc(F)cc(F)c1
26699	CC[C@@H]1CC[C@H](O)[C@H](Oc2cc(F)cc(C#N)c2)C1
3861	CN[C@H]1CCC(C)(C)C[C@H]1Oc1cc(F)cc(C#N)c1
31789	CS(=O)(=O)c1ccc(Oc2nnccc2C#N)cc1
24126	N#Cc1cc(F)cc(O[C@@H]2CCOC3(CCCC3)C2)c1
7668	COC[C@@H](Oc1cc(F)cc(C#N)c1)C(C)(C)O
39101	N#Cc1cccc(N2C[C@@H](O)C[C@H]2c2cccc(F)c2)n1
33924	N#Cc1cc(F)cc([C@H]2C[C@H](F)CN2)c1
17168	N#Cc1cc(F)cc(Oc2ccccc2C(F)(F)F)c1
